Settings:,,
Use KPA,0,
KP,1,
KI,0,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 20000.00, 20100.00, 21000.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.57,0
0.032,0.06,-0.06,-0.57,0
0.048,0.06,1.74,-0.55,0
0.064,0.06,3.54,-0.47,0
0.08,0.06,3.54,-0.47,0
0.096,0.06,5.34,-0.33,0
0.112,0.42,5.34,-0.33,0
0.128,0.6,4.97,-0.18,0
0.144,0.79,4.97,-0.18,0
0.16,0.97,5.01,-0.03,0
0.176,1.15,5.01,-0.03,0
0.192,1.15,4.65,0.12,0
0.208,1.34,4.65,0.12,0
0.224,1.52,4.46,0.25,0
0.24,1.52,4.46,0.25,0
0.256,1.7,4.28,0.38,0
0.272,1.7,4.28,0.38,0
0.288,1.7,4.1,0.51,0
0.304,1.89,4.1,0.63,0
0.32,1.89,4.1,0.63,0
0.336,1.89,3.91,0.75,0
0.352,2.07,3.91,0.75,0
0.368,2.07,3.73,0.87,0
0.384,2.25,3.73,0.87,0
0.4,2.25,3.55,0.98,0
0.416,2.44,3.55,0.98,0
0.432,2.44,3.36,1.08,0
0.448,2.44,3.36,1.08,0
0.464,2.62,3.36,1.18,0
0.48,2.62,3.36,1.18,0
0.496,2.62,3.18,1.28,0
0.512,2.62,3.18,1.28,0
0.528,2.8,3.18,1.38,0
0.544,2.8,3,1.47,0
0.56,2.8,3,1.47,0
0.576,2.8,3,1.56,0
0.592,2.99,3,1.56,0
0.608,2.99,2.81,1.65,0
0.624,2.99,2.81,1.65,0
0.64,2.99,2.81,1.73,0
0.656,2.99,2.81,1.73,0
0.672,3.17,2.81,1.81,0
0.688,3.17,2.81,1.81,0
0.704,3.17,2.63,1.9,0
0.72,3.17,2.63,1.9,0
0.736,3.35,2.63,1.98,0
0.752,3.35,2.63,1.98,0
0.768,3.35,2.45,2.05,0
0.784,3.54,2.45,2.12,0
0.8,3.35,2.45,2.12,0
0.816,3.54,2.45,2.2,0
0.832,3.54,2.45,2.2,0
0.848,3.54,2.26,2.27,0
0.864,3.54,2.26,2.27,0
0.88,3.54,2.26,2.34,0
0.896,3.72,2.26,2.34,0
0.912,3.72,2.08,2.4,0
0.928,3.72,2.08,2.4,0
0.944,3.72,2.08,2.46,0
0.96,3.72,2.08,2.46,0
0.976,3.72,2.08,2.53,0
0.992,3.9,2.08,2.53,0
1.008,3.9,1.9,2.59,0
1.024,3.9,1.9,2.64,0
1.04,3.9,1.9,2.64,0
1.056,3.9,1.9,2.7,0
1.072,3.9,1.9,2.7,0
1.088,3.9,1.9,2.76,0
1.104,4.09,1.9,2.76,0
1.12,4.09,1.71,2.81,0
1.136,4.09,1.71,2.81,0
1.152,4.09,1.71,2.86,0
1.168,4.09,1.71,2.86,0
1.184,4.09,1.71,2.91,0
1.2,4.09,1.71,2.91,0
1.216,4.27,1.71,2.97,0
1.232,4.27,1.71,2.97,0
1.248,4.27,1.53,3.02,0
1.264,4.27,1.53,3.02,0
1.28,4.27,1.53,3.06,0
1.296,4.27,1.53,3.11,0
1.312,4.27,1.53,3.11,0
1.328,4.27,1.53,3.15,0
1.344,4.27,1.53,3.15,0
1.36,4.45,1.53,3.2,0
1.376,4.45,1.53,3.2,0
1.392,4.45,1.35,3.24,0
1.408,4.45,1.35,3.24,0
1.424,4.45,1.35,3.28,0
1.44,4.45,1.35,3.28,0
1.456,4.45,1.35,3.32,0
1.472,4.45,1.35,3.32,0
1.488,4.45,1.35,3.36,0
1.504,4.64,1.35,3.36,0
1.52,4.64,1.16,3.4,0
1.536,4.64,1.16,3.44,0
1.552,4.64,1.16,3.44,0
1.568,4.64,1.16,3.47,0
1.584,4.64,1.16,3.47,0
1.6,4.64,1.16,3.51,0
1.616,4.64,1.16,3.51,0
1.632,4.82,1.16,3.54,0
1.648,4.82,1.16,3.54,0
1.664,4.82,0.98,3.57,0
1.68,4.82,0.98,3.57,0
1.696,4.82,0.98,3.6,0
1.712,4.82,0.98,3.6,0
1.728,4.82,0.98,3.63,0
1.744,4.82,0.98,3.63,0
1.76,4.82,0.98,3.66,0
1.776,4.82,0.98,3.69,0
1.792,4.82,0.98,3.69,0
1.808,4.82,0.98,3.72,0
1.824,4.82,0.98,3.72,0
1.84,5,0.98,3.75,0
1.856,5,0.98,3.75,0
1.872,5,0.8,3.78,0
1.888,5,0.8,3.78,0
1.904,5,0.8,3.8,0
1.92,5,0.8,3.8,0
1.936,5,0.8,3.82,0
1.952,5,0.8,3.82,0
1.968,5,0.8,3.85,0
1.984,5,0.8,3.85,0
2,5,0.8,3.87,0
2.016,5,0.8,3.89,0
2.032,5,0.8,3.89,0
2.048,5,0.8,3.92,0
2.064,5,0.8,3.92,0
2.08,5,0.8,3.94,0
2.096,5,0.8,3.94,0
2.112,5,0.8,3.97,0
2.128,5,0.8,3.97,0
2.144,5,0.8,3.99,0
2.16,5,0.8,3.99,0
2.176,5,0.8,4.02,0
2.192,5,0.8,4.02,0
2.208,5,0.8,4.04,0
2.224,5,0.8,4.04,0
2.24,5,0.8,4.06,0
2.256,5,0.8,4.09,0
2.272,5,0.8,4.09,0
2.288,5,0.8,4.11,0
2.304,5,0.8,4.11,0
2.32,5,0.8,4.13,0
2.336,5,0.8,4.13,0
2.352,5,0.8,4.16,0
2.368,5,0.8,4.16,0
2.384,5,0.8,4.18,0
2.4,5,0.8,4.18,0
2.416,5,0.8,4.21,0
2.432,5,0.8,4.21,0
2.448,5,0.8,4.23,0
2.464,5,0.8,4.23,0
2.48,5.19,0.8,4.25,0
2.496,5.19,0.61,4.28,0
2.512,5,0.61,4.28,0
2.528,5.19,0.8,4.3,0
2.544,5.19,0.8,4.3,0
2.56,5.19,0.61,4.32,0
2.576,5.19,0.61,4.32,0
2.592,5,0.61,4.34,0
2.608,5.19,0.61,4.34,0
2.624,5.19,0.61,4.35,0
2.64,5.19,0.61,4.35,0
2.656,5,0.61,4.37,0
2.672,5,0.61,4.37,0
2.688,5,0.8,4.39,0
2.704,5,0.8,4.39,0
2.72,5,0.8,4.42,0
2.736,5,0.8,4.42,0
2.752,5,0.8,4.44,0
2.768,5,0.8,4.47,0
2.784,5.19,0.8,4.47,0
2.8,5,0.61,4.49,0
2.816,5,0.61,4.49,0
2.832,5.19,0.8,4.51,0
2.848,5,0.8,4.51,0
2.864,5.19,0.8,4.53,0
2.88,5,0.8,4.53,0
2.896,5.19,0.8,4.56,0
2.912,5,0.8,4.56,0
2.928,5.19,0.8,4.58,0
2.944,5.19,0.8,4.58,0
2.96,5.19,0.61,4.6,0
2.976,5.19,0.61,4.6,0
2.992,5.19,0.61,4.62,0
3.008,5,0.61,4.64,0
3.024,5,0.61,4.64,0
3.04,5,0.8,4.66,0
3.056,5,0.8,4.66,0
3.072,5,0.8,4.68,0
3.088,5,0.8,4.68,0
3.104,5,0.8,4.71,0
3.12,5,0.8,4.71,0
3.136,5,0.8,4.73,0
3.152,5,0.8,4.73,0
3.168,5.19,0.8,4.75,0
3.184,5.19,0.8,4.75,0
3.2,5,0.61,4.78,0
3.216,5,0.61,4.78,0
3.232,5,0.8,4.8,0
3.248,5,0.8,4.82,0
3.264,5,0.8,4.82,0
3.28,5,0.8,4.84,0
3.296,5,0.8,4.84,0
3.312,5,0.8,4.87,0
3.328,5,0.8,4.87,0
3.344,5,0.8,4.89,0
3.36,5,0.8,4.89,0
3.376,5,0.8,4.92,0
3.392,5,0.8,4.92,0
3.408,5,0.8,4.94,0
3.424,5.19,0.8,4.94,0
3.44,5,0.61,4.96,0
3.456,5,0.61,4.96,0
3.472,5,0.8,4.98,0
3.488,5,0.8,4.98,0
3.504,5,0.8,5.01,0
3.52,5,0.8,5.03,0
3.536,5,0.8,5.03,0
3.552,5,0.8,5.06,0
3.568,5,0.8,5.06,0
3.584,5,0.8,5.08,0
3.6,5,0.8,5.08,0
3.616,5,0.8,5.1,0
3.632,5.19,0.8,5.1,0
3.648,5.19,0.61,5.12,0
3.664,5,0.61,5.12,0
3.68,5,0.8,5.15,0
3.696,5.19,0.8,5.15,0
3.712,5,0.61,5.17,0
3.728,5,0.61,5.17,0
3.744,5,0.8,5.19,0
3.76,5,0.8,5.21,0
3.776,5,0.8,5.21,0
3.792,5,0.8,5.24,0
3.808,5,0.8,5.24,0
3.824,5,0.8,5.26,0
3.84,5.19,0.8,5.26,0
3.856,5,0.61,5.28,0
3.872,5,0.61,5.28,0
3.888,5.19,0.8,5.3,0
3.904,5,0.8,5.3,0
3.92,5,0.8,5.33,0
3.936,5,0.8,5.33,0
3.952,5,0.8,5.35,0
3.968,5,0.8,5.35,0
3.984,5,0.8,5.37,0
4,5,0.8,5.37,0
4.016,5,0.8,5.4,0
4.032,5,0.8,5.42,0
4.048,5,0.8,5.42,0
4.064,5,0.8,5.45,0
4.08,5,0.8,5.45,0
4.096,5,0.8,5.47,0
4.112,5,0.8,5.47,0
4.128,5,0.8,5.49,0
4.144,5,0.8,5.49,0
4.16,5,0.8,5.52,0
4.176,5,0.8,5.52,0
4.192,5,0.8,5.54,0
4.208,5,0.8,5.54,0
4.224,5,0.8,5.57,0
4.24,5,0.8,5.57,0
4.256,5,0.8,5.59,0
4.272,5,0.8,5.61,0
4.288,5,0.8,5.61,0
4.304,5,0.8,5.64,0
4.32,5,0.8,5.64,0
4.336,5,0.8,5.66,0
4.352,5,0.8,5.66,0
4.368,5.19,0.8,5.69,0
4.384,5,0.8,5.69,0
4.4,5,0.8,5.71,0
4.416,5,0.8,5.71,0
4.432,5,0.8,5.73,0
4.448,5,0.8,5.73,0
4.464,5,0.8,5.76,0
4.48,5,0.8,5.76,0
4.496,5,0.8,5.78,0
4.512,5,0.8,5.81,0
4.528,5,0.8,5.81,0
4.544,5,0.8,5.83,0
4.56,5,0.8,5.83,0
4.576,5,0.8,5.85,0
4.592,5,0.8,5.85,0
4.608,5,0.8,5.88,0
4.624,5,0.8,5.88,0
4.64,5,0.8,5.9,0
4.656,5,0.8,5.9,0
4.672,5,0.8,5.93,0
4.688,5,0.8,5.93,0
4.704,5,0.8,5.95,0
4.72,5,0.8,5.95,0
4.736,5,0.8,5.97,0
4.752,5,0.8,5.97,0
4.768,5,0.8,6,0
4.784,5,0.8,6.02,0
4.8,5,0.8,6.02,0
4.816,5,0.8,6.05,0
4.832,5,0.8,6.05,0
4.848,5,0.8,6.07,0
4.864,5,0.8,6.07,0
4.88,5,0.8,6.09,0
4.896,5,0.8,6.09,0
4.912,5,0.8,6.12,0
4.928,5,0.8,6.12,0
4.944,5,0.8,6.14,0
4.96,5,0.8,6.14,0
4.976,5,0.8,6.17,0
4.992,5,0.8,6.17,0
5.008,5,0.8,6.19,0
5.024,5,0.8,6.21,0
5.04,5,0.8,6.21,0
5.056,5,0.8,6.24,0
5.072,5,0.8,6.24,0
5.088,5,0.8,6.26,0
5.104,5,0.8,6.26,0
5.12,5,0.8,6.29,0
5.136,5,0.8,6.29,0
5.152,5,0.8,6.31,0
5.168,5,0.8,6.31,0
5.184,5,0.8,6.33,0
5.2,5,0.8,6.33,0
5.216,5,0.8,6.36,0
5.232,5,0.8,6.36,0
5.248,5.19,0.8,6.38,0
5.264,5,0.61,6.4,0
5.28,5,0.61,6.4,0
5.296,5,0.8,6.42,0
5.312,5,0.8,6.42,0
5.328,5,0.8,6.45,0
5.344,5,0.8,6.45,0
5.36,5,0.8,6.47,0
5.376,5,0.8,6.47,0
5.392,5,0.8,6.5,0
5.408,5,0.8,6.5,0
5.424,5,0.8,6.52,0
5.44,5,0.8,6.52,0
5.456,5,0.8,6.54,0
5.472,5,0.8,6.54,0
5.488,5,0.8,6.57,0
5.504,5,0.8,6.57,0
5.52,5,0.8,6.59,0
5.536,5,0.8,6.62,0
5.552,5,0.8,6.62,0
5.568,5,0.8,6.64,0
5.584,5,0.8,6.64,0
5.6,5,0.8,6.66,0
5.616,5,0.8,6.66,0
5.632,5,0.8,6.69,0
5.648,5,0.8,6.69,0
5.664,5,0.8,6.71,0
5.68,5,0.8,6.71,0
5.696,5,0.8,6.73,0
5.712,5,0.8,6.73,0
5.728,5,0.8,6.76,0
5.744,5,0.8,6.76,0
5.76,5,0.8,6.78,0
5.776,5,0.8,6.81,0
5.792,5,0.8,6.81,0
5.808,5,0.8,6.83,0
5.824,5,0.8,6.83,0
5.84,5,0.8,6.85,0
5.856,5,0.8,6.85,0
5.872,5,0.8,6.88,0
5.888,5,0.8,6.88,0
5.904,5,0.8,6.9,0
5.92,5,0.8,6.9,0
5.936,5,0.8,6.93,0
5.952,5,0.8,6.93,0
5.968,5,0.8,6.95,0
5.984,5,0.8,6.95,0
6,5,0.8,6.97,0
6.016,5,0.8,7,0
6.032,5,0.8,7,0
6.048,5,0.8,7.02,0
6.064,5,0.8,7.02,0
6.08,5,0.8,7.05,0
6.096,5,0.8,7.05,0
6.112,5,0.8,7.07,0
6.128,5,0.8,7.07,0
6.144,5,0.8,7.09,0
6.16,5,0.8,7.09,0
6.176,5,0.8,7.12,0
6.192,5,0.8,7.12,0
6.208,5,0.8,7.14,0
6.224,5,0.8,7.14,0
6.24,5,0.8,7.16,0
6.256,5,0.8,7.19,0
6.272,5,0.8,7.19,0
6.288,5,0.8,7.21,0
6.304,5,0.8,7.21,0
6.32,5,0.8,7.24,0
6.336,5,0.8,7.24,0
6.352,5,0.8,7.26,0
6.368,5,0.8,7.26,0
6.384,5,0.8,7.28,0
6.4,5,0.8,7.28,0
6.416,5,0.8,7.31,0
6.432,5,0.8,7.31,0
6.448,5,0.8,7.33,0
6.464,5,0.8,7.33,0
6.48,5,0.8,7.36,0
6.496,5,0.8,7.38,0
6.512,5,0.8,7.38,0
6.528,5,0.8,7.4,0
6.544,5,0.8,7.4,0
6.56,5,0.8,7.43,0
6.576,5,0.8,7.43,0
6.592,5,0.8,7.45,0
6.608,5,0.8,7.45,0
6.624,5,0.8,7.48,0
6.64,5,0.8,7.48,0
6.656,5,0.8,7.5,0
6.672,5,0.8,7.5,0
6.688,5,0.8,7.52,0
6.704,5,0.8,7.52,0
6.72,5,0.8,7.55,0
6.736,5,0.8,7.57,0
6.752,5,0.8,7.57,0
6.768,5,0.8,7.6,0
6.784,5,0.8,7.6,0
6.8,5,0.8,7.62,0
6.816,5,0.8,7.62,0
6.832,5,0.8,7.64,0
6.848,5,0.8,7.64,0
6.864,5,0.8,7.67,0
6.88,5,0.8,7.67,0
6.896,5,0.8,7.69,0
6.912,5,0.8,7.69,0
6.928,5,0.8,7.72,0
6.944,5,0.8,7.72,0
6.96,5,0.8,7.74,0
6.976,5,0.8,7.74,0
6.992,5,0.8,7.76,0
7.008,5,0.8,7.79,0
7.024,5,0.8,7.79,0
7.04,5,0.8,7.81,0
7.056,5,0.8,7.81,0
7.072,5,0.8,7.84,0
7.088,5,0.8,7.84,0
7.104,5,0.8,7.86,0
7.12,5,0.8,7.86,0
7.136,5,0.8,7.88,0
7.152,5,0.8,7.88,0
7.168,5,0.8,7.91,0
7.184,5,0.8,7.91,0
7.2,5,0.8,7.93,0
7.216,5,0.8,7.93,0
7.232,5,0.8,7.96,0
7.248,5,0.8,7.98,0
7.264,5,0.8,7.98,0
7.28,5,0.8,8,0
7.296,5,0.8,8,0
7.312,5,0.8,8.03,0
7.328,5,0.8,8.03,0
7.344,5,0.8,8.05,0
7.36,5,0.8,8.05,0
7.376,5,0.8,8.08,0
7.392,5,0.8,8.08,0
7.408,5,0.8,8.1,0
7.424,5,0.8,8.1,0
7.44,5,0.8,8.12,0
7.456,4.82,0.8,8.12,0
7.472,5,0.98,8.15,0
7.488,5,0.98,8.15,0
7.504,5,0.8,8.18,0
7.52,5,0.8,8.2,0
7.536,5,0.8,8.2,0
7.552,5,0.8,8.23,0
7.568,5,0.8,8.23,0
7.584,5,0.8,8.25,0
7.6,5,0.8,8.25,0
7.616,4.82,0.8,8.27,0
7.632,5,0.8,8.27,0
