Settings:,,
Use KPA,0,
KP,0.675,
KI,2.11,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1500.00, 1600.00, 3000.00, 3500.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,-0.13,-0.06,-0.28,0
0.032,-0.13,0.13,-0.28,0
0.048,-0.13,0.13,-0.28,0
0.064,0.06,0.25,-0.27,0
0.08,-0.13,0.25,-0.27,0
0.096,0.06,0.37,-0.26,0
0.112,0.06,0.37,-0.26,0
0.128,0.06,0.3,-0.25,0
0.144,0.06,0.3,-0.25,0
0.16,-0.13,0.42,-0.24,0
0.176,0.06,0.42,-0.24,0
0.192,0.06,0.54,-0.23,0
0.208,-0.13,0.54,-0.23,0
0.224,0.06,0.85,-0.21,0
0.24,-0.13,0.85,-0.21,0
0.256,-0.13,0.97,-0.18,0
0.272,-0.13,1.09,-0.15,0
0.288,-0.13,1.09,-0.15,0
0.304,-0.13,1.21,-0.12,0
0.32,0.06,1.21,-0.12,0
0.336,0.06,1.14,-0.08,0
0.352,0.06,1.14,-0.08,0
0.368,0.06,1.26,-0.04,0
0.384,1.52,1.26,-0.04,0
0.4,0.42,-0.08,-0.03,0
0.416,0.97,-0.08,-0.03,0
0.432,0.97,0.59,-0.02,0
0.448,0.97,0.59,-0.02,0
0.464,0.97,0.71,0,0
0.48,1.15,0.71,0,0
0.496,1.15,0.64,0.02,0
0.512,1.34,0.76,0.04,0
0.528,1.7,0.76,0.04,0
0.544,1.89,0.33,0.06,0
0.56,1.89,0.33,0.06,0
0.576,1.89,0.27,0.07,0
0.592,1.89,0.27,0.07,0
0.608,1.89,0.39,0.08,0
0.624,2.07,0.39,0.08,0
0.64,2.07,0.33,0.09,0
0.656,2.25,0.33,0.09,0
0.672,2.25,0.26,0.1,0
0.688,2.25,0.26,0.1,0
0.704,2.44,0.38,0.11,0
0.72,2.44,0.38,0.11,0
0.736,2.62,0.32,0.12,0
0.752,2.62,0.26,0.13,0
0.768,2.62,0.26,0.13,0
0.784,2.8,0.38,0.14,0
0.8,2.8,0.38,0.14,0
0.816,2.99,0.31,0.15,0
0.832,2.99,0.31,0.15,0
0.848,3.17,0.25,0.15,0
0.864,3.17,0.25,0.15,0
0.88,3.17,0.19,0.16,0
0.896,3.35,0.19,0.16,0
0.912,3.35,0.12,0.17,0
0.928,3.35,0.12,0.17,0
0.944,3.35,0.24,0.17,0
0.96,3.54,0.24,0.17,0
0.976,3.54,0.18,0.18,0
0.992,3.72,0.18,0.18,0
1.008,3.72,0.18,0.18,0
1.024,3.72,0.12,0.19,0
1.04,3.72,0.12,0.19,0
1.056,3.9,0.23,0.19,0
1.072,3.9,0.23,0.19,0
1.088,4.09,0.17,0.2,0
1.104,4.09,0.17,0.2,0
1.12,4.09,0.11,0.2,0
1.136,4.09,0.11,0.2,0
1.152,4.27,0.23,0.21,0
1.168,4.45,0.23,0.21,0
1.184,4.27,-0.02,0.21,0
1.2,4.45,-0.02,0.21,0
1.216,4.45,0.1,0.21,0
1.232,4.45,0.1,0.21,0
1.248,4.64,0.22,0.22,0
1.264,4.64,0.16,0.22,0
1.28,4.82,0.16,0.22,0
1.296,4.82,0.09,0.23,0
1.312,4.82,0.09,0.23,0
1.328,4.82,0.21,0.23,0
1.344,5,0.21,0.23,0
1.36,5,0.15,0.24,0
1.376,5.19,0.15,0.24,0
1.392,5,0.09,0.24,0
1.408,5.19,0.09,0.24,0
1.424,5.37,0.21,0.24,0
1.44,5.37,0.21,0.24,0
1.456,5.37,0.14,0.25,0
1.472,5.37,0.14,0.25,0
1.488,5.55,0.26,0.26,0
1.504,5.55,0.2,0.26,0
1.52,5.74,0.2,0.26,0
1.536,5.74,0.06,0.27,0
1.552,5.74,0.06,0.27,0
1.568,5.74,0.06,0.27,0
1.584,5.92,0.06,0.27,0
1.6,5.92,-0.12,0.27,0
1.616,5.92,-0.12,0.27,0
1.632,5.92,-0.17,0.26,0
1.648,5.92,-0.17,0.26,0
1.664,5.92,-0.3,0.26,0
1.68,5.92,-0.3,0.26,0
1.696,5.92,-0.43,0.25,0
1.712,5.92,-0.43,0.25,0
1.728,5.92,-0.56,0.23,0
1.744,5.92,-0.68,0.21,0
1.76,5.92,-0.68,0.21,0
1.776,5.92,-0.81,0.19,0
1.792,5.92,-0.81,0.19,0
1.808,5.92,-0.94,0.16,0
1.824,5.92,-0.94,0.16,0
1.84,5.92,-1.07,0.13,0
1.856,5.92,-1.07,0.13,0
1.872,5.74,-1.2,0.1,0
1.888,5.74,-1.2,0.1,0
1.904,5.74,-1.14,0.06,0
1.92,5.74,-1.14,0.06,0
1.936,5.74,-1.27,0.03,0
1.952,5.74,-1.27,0.03,0
1.968,5.74,-1.27,-0.01,0
1.984,5.74,-1.27,-0.01,0
2,5.74,-1.53,-0.05,0
2.016,5.55,-1.66,-0.1,0
2.032,5.55,-1.66,-0.1,0
2.048,5.55,-1.47,-0.15,0
2.064,5.55,-1.47,-0.15,0
2.08,5.55,-1.6,-0.2,0
2.096,5.55,-1.6,-0.2,0
2.112,5.55,-1.73,-0.25,0
2.128,5.37,-1.73,-0.25,0
2.144,5.37,-1.67,-0.3,0
2.16,5.37,-1.67,-0.3,0
2.176,5.37,-1.8,-0.35,0
2.192,5.37,-1.8,-0.35,0
2.208,5.37,-1.93,-0.4,0
2.224,5.19,-1.93,-0.4,0
2.24,5.19,-1.88,-0.46,0
2.256,5.19,-2.01,-0.52,0
2.272,5.19,-2.01,-0.52,0
2.288,5.19,-2.13,-0.58,0
2.304,5.19,-2.13,-0.58,0
2.32,5,-2.26,-0.65,0
2.336,5,-2.26,-0.65,0
2.352,5,-2.21,-0.72,0
2.368,5,-2.21,-0.72,0
2.384,5,-2.34,-0.78,0
2.4,5,-2.34,-0.78,0
2.416,4.82,-2.47,-0.86,0
2.432,4.82,-2.47,-0.86,0
2.448,4.82,-2.41,-0.93,0
2.464,4.82,-2.41,-0.93,0
2.48,4.82,-2.54,-1,0
2.496,4.82,-2.67,-1.08,0
2.512,4.82,-2.67,-1.08,0
2.528,4.64,-2.8,-1.17,0
2.544,4.64,-2.8,-1.17,0
2.56,4.45,-2.74,-1.25,0
2.576,4.27,-2.74,-1.25,0
2.592,4.27,-2.51,-1.33,0
2.608,3.9,-2.51,-1.33,0
2.624,3.54,-2.27,-1.4,0
2.64,2.62,-2.27,-1.4,0
2.656,2.25,-1.11,-1.45,0
2.672,1.89,-1.11,-1.45,0
2.688,1.52,-0.51,-1.47,0
2.704,1.15,-0.51,-1.47,0
2.72,0.97,0.1,-1.48,0
2.736,0.6,0.1,-1.48,0
2.752,0.42,0.52,-1.47,0
2.768,0.42,0.57,-1.45,0
2.784,0.24,0.57,-1.45,0
2.8,0.24,0.63,-1.44,0
2.816,0.06,0.63,-1.44,0
2.832,0.06,0.68,-1.42,0
2.848,0.06,0.68,-1.42,0
2.864,-0.13,0.55,-1.4,0
2.88,0.06,0.55,-1.4,0
2.896,-0.13,0.43,-1.38,0
2.912,-0.13,0.43,-1.38,0
2.928,-0.13,0.48,-1.37,0
2.944,-0.13,0.48,-1.37,0
2.96,-0.13,0.35,-1.36,0
2.976,-0.13,0.35,-1.36,0
2.992,-0.13,0.35,-1.35,0
3.008,-0.13,0.35,-1.35,0
3.024,-0.13,0.13,-1.34,0
3.04,-0.13,0.13,-1.34,0
3.056,-0.13,0.13,-1.34,0
3.072,-0.13,0.13,-1.33,0
3.088,-0.13,0.13,-1.33,0
3.104,0.06,0.13,-1.33,0
3.12,-0.13,0.13,-1.33,0
3.136,-0.13,0.13,-1.32,0
3.152,0.06,0.13,-1.32,0
3.168,-0.13,-0.06,-1.32,0
3.184,-0.13,-0.06,-1.32,0
3.2,0.06,0.13,-1.32,0
3.216,-0.13,0.13,-1.32,0
3.232,-0.13,0.13,-1.32,0
3.248,0.06,0.13,-1.32,0
3.264,-0.13,-0.06,-1.32,0
3.28,0.06,0.13,-1.32,0
3.296,-0.13,0.13,-1.32,0
3.312,-0.13,0.13,-1.31,0
3.328,-0.13,0.13,-1.31,0
3.344,-0.13,0.13,-1.31,0
3.36,-0.13,0.13,-1.31,0
3.376,-0.13,0.13,-1.3,0
3.392,-0.13,0.13,-1.3,0
3.408,0.06,0.13,-1.3,0
3.424,0.06,0.13,-1.3,0
3.44,-0.13,-0.06,-1.3,0
3.456,0.06,-0.06,-1.3,0
3.472,-0.13,-0.06,-1.3,0
3.488,-0.13,-0.06,-1.3,0
3.504,-0.13,0.13,-1.3,0
3.505,-0.13,0,0,1
