Settings:,,
Use KPA,0,
KP,0.1,
KI,5e-05,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 20000.00, 20100.00, 21000.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.29,0
0.032,0.06,1.74,-0.27,0
0.048,0.06,1.74,-0.27,0
0.064,0.06,1.74,-0.22,0
0.08,0.06,1.74,-0.22,0
0.096,0.06,3.54,-0.14,0
0.112,0.06,3.54,-0.14,0
0.128,0.06,5.34,-0,0
0.144,0.06,5.34,-0,0
0.16,0.24,5.74,0.16,0
0.176,0.24,5.74,0.16,0
0.192,0.24,5.56,0.33,0
0.208,0.42,5.56,0.33,0
0.224,0.6,5.38,0.5,0
0.24,0.6,5.38,0.5,0
0.256,0.79,5.2,0.66,0
0.272,0.79,5.01,0.81,0
0.288,0.97,5.01,0.81,0
0.304,0.97,4.83,0.96,0
0.32,0.97,4.83,0.96,0
0.336,0.97,4.83,1.1,0
0.352,1.15,4.83,1.1,0
0.368,1.15,4.65,1.24,0
0.384,1.15,4.65,1.24,0
0.4,1.34,4.65,1.38,0
0.416,1.34,4.65,1.38,0
0.432,1.34,4.46,1.52,0
0.448,1.52,4.46,1.52,0
0.464,1.52,4.28,1.65,0
0.48,1.52,4.28,1.65,0
0.496,1.52,4.28,1.78,0
0.512,1.7,4.28,1.91,0
0.528,1.7,4.28,1.91,0
0.544,1.7,4.1,2.03,0
0.56,1.7,4.1,2.03,0
0.576,1.89,4.1,2.16,0
0.592,1.89,4.1,2.16,0
0.608,1.89,3.91,2.28,0
0.624,2.07,3.91,2.28,0
0.64,2.07,3.73,2.39,0
0.656,2.07,3.73,2.39,0
0.672,2.07,3.73,2.51,0
0.688,2.07,3.73,2.51,0
0.704,2.07,3.73,2.62,0
0.72,2.25,3.73,2.62,0
0.736,2.25,3.55,2.73,0
0.752,2.25,3.55,2.73,0
0.768,2.25,3.55,2.83,0
0.784,2.25,3.55,2.94,0
0.8,2.25,3.55,2.94,0
0.816,2.44,3.55,3.05,0
0.832,2.44,3.55,3.05,0
0.848,2.44,3.36,3.15,0
0.864,2.44,3.36,3.15,0
0.88,2.62,3.36,3.25,0
0.896,2.62,3.36,3.25,0
0.912,2.62,3.18,3.35,0
0.928,2.62,3.18,3.35,0
0.944,2.62,3.18,3.44,0
0.96,2.62,3.18,3.44,0
0.976,2.8,3.18,3.54,0
0.992,2.8,3.18,3.54,0
1.008,2.8,3,3.63,0
1.024,2.8,3,3.72,0
1.04,2.8,3,3.72,0
1.056,2.8,3,3.81,0
1.072,2.8,3,3.81,0
1.088,2.99,3,3.9,0
1.104,2.99,3,3.9,0
1.12,2.99,2.81,3.99,0
1.136,2.99,2.81,3.99,0
1.152,2.99,2.81,4.07,0
1.168,2.99,2.81,4.07,0
1.184,2.99,2.81,4.16,0
1.2,3.17,2.81,4.16,0
1.216,3.17,2.63,4.24,0
1.232,3.17,2.63,4.24,0
1.248,3.17,2.63,4.32,0
1.264,3.17,2.63,4.4,0
1.28,3.17,2.63,4.4,0
1.296,3.17,2.63,4.48,0
1.312,3.17,2.63,4.48,0
1.328,3.35,2.63,4.55,0
1.344,3.35,2.63,4.55,0
1.36,3.35,2.45,4.63,0
1.376,3.35,2.45,4.63,0
1.392,3.35,2.45,4.7,0
1.408,3.35,2.45,4.7,0
1.424,3.35,2.45,4.78,0
1.44,3.35,2.45,4.78,0
1.456,3.35,2.45,4.85,0
1.472,3.35,2.45,4.85,0
1.488,3.54,2.45,4.93,0
1.504,3.54,2.26,5,0
1.52,3.54,2.26,5,0
1.536,3.54,2.26,5.07,0
1.552,3.54,2.26,5.07,0
1.568,3.54,2.26,5.13,0
1.584,3.54,2.26,5.13,0
1.6,3.54,2.26,5.2,0
1.616,3.54,2.26,5.2,0
1.632,3.54,2.26,5.27,0
1.648,3.54,2.26,5.27,0
1.664,3.72,2.26,5.34,0
1.68,3.72,2.26,5.34,0
1.696,3.72,2.08,5.4,0
1.712,3.72,2.08,5.4,0
1.728,3.72,2.08,5.46,0
1.744,3.72,2.08,5.46,0
1.76,3.72,2.08,5.53,0
1.776,3.72,2.08,5.59,0
1.792,3.72,2.08,5.59,0
1.808,3.72,2.08,5.65,0
1.824,3.72,2.08,5.65,0
1.84,3.72,2.08,5.72,0
1.856,3.72,2.08,5.72,0
1.872,3.9,2.08,5.78,0
1.888,3.9,2.08,5.78,0
1.904,3.9,1.9,5.84,0
1.92,3.9,1.9,5.84,0
1.936,3.9,1.9,5.89,0
1.952,3.9,1.9,5.89,0
1.968,3.9,1.9,5.95,0
1.984,3.9,1.9,5.95,0
2,3.9,1.9,6.01,0
2.016,3.9,1.9,6.01,0
2.032,3.9,1.9,6.07,0
2.048,3.9,1.9,6.13,0
2.064,3.9,1.9,6.13,0
2.08,3.9,1.9,6.18,0
2.096,3.9,1.9,6.18,0
2.112,4.09,1.9,6.24,0
2.128,3.9,1.9,6.24,0
2.144,4.09,1.9,6.3,0
2.16,4.09,1.9,6.3,0
2.176,4.09,1.71,6.35,0
2.192,4.09,1.71,6.35,0
2.208,4.09,1.71,6.4,0
2.224,4.09,1.71,6.4,0
2.24,4.09,1.71,6.45,0
2.256,4.09,1.71,6.45,0
2.272,4.09,1.71,6.51,0
2.288,4.09,1.71,6.56,0
2.304,4.09,1.71,6.56,0
2.32,4.09,1.71,6.61,0
2.336,4.09,1.71,6.61,0
2.352,4.09,1.71,6.66,0
2.368,4.09,1.71,6.66,0
2.384,4.09,1.71,6.71,0
2.4,4.09,1.71,6.71,0
2.416,4.09,1.71,6.76,0
2.432,4.09,1.71,6.76,0
2.448,4.27,1.71,6.81,0
2.464,4.27,1.71,6.81,0
2.48,4.27,1.53,6.86,0
2.496,4.27,1.53,6.86,0
2.512,4.27,1.53,6.91,0
2.528,4.27,1.53,6.91,0
2.544,4.27,1.53,6.96,0
2.56,4.27,1.53,7,0
2.576,4.27,1.53,7,0
2.592,4.27,1.53,7.05,0
2.608,4.27,1.53,7.05,0
