Settings:
filename,251007_setup_1.csv
Use KPA?,1
KP,0.10000
KI,0.00005
KD,0.00000
Traj Follow Error Threshold,10.00
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,1000.00,2000.00,3000.00,4000.00
Traj pressures,0.00,20.00,20.00,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.38,0.00,0.00,0
31,0.38,-0.38,-4.25,0
62,0.38,0.24,-4.25,0
93,0.38,0.86,-4.24,0
124,0.38,1.48,-4.20,0
155,0.38,2.10,-4.14,0
186,0.38,2.72,-4.05,0
217,1.64,3.34,-3.96,0
248,6.70,2.70,-3.87,0
279,6.70,-1.74,-3.86,0
310,6.70,-1.12,-3.90,0
341,6.70,-0.50,-3.93,0
372,6.70,0.12,-3.93,0
403,6.70,0.74,-3.92,0
434,6.70,1.36,-3.89,0
465,6.70,1.98,-3.83,0
496,9.23,2.60,-3.76,0
527,10.49,0.69,-3.71,0
558,11.75,0.05,-3.70,0
590,11.75,-0.59,-3.71,0
621,11.75,0.05,-3.72,0
652,10.49,0.67,-3.71,0
683,11.75,2.55,-3.66,0
714,13.02,1.91,-3.59,0
745,14.28,1.26,-3.54,0
776,14.28,0.62,-3.51,0
807,14.28,1.24,-3.48,0
838,15.54,1.86,-3.43,0
869,15.54,1.22,-3.38,0
900,16.81,1.84,-3.33,0
931,16.81,1.19,-3.29,0
962,16.81,1.81,-3.24,0
993,18.07,2.43,-3.18,0
1024,19.33,1.79,-3.11,0
1055,19.33,0.67,-3.07,0
1086,19.33,0.67,-3.05,0
1117,19.33,0.67,-3.03,0
1148,19.33,0.67,-3.01,0
1179,19.33,0.67,-2.99,0
1210,19.33,0.67,-2.97,0
1241,19.33,0.67,-2.95,0
1272,19.33,0.67,-2.93,0
1303,19.33,0.67,-2.91,0
1334,19.33,0.67,-2.89,0
1365,19.33,0.67,-2.87,0
1396,20.60,0.67,-2.85,0
1427,20.60,-0.60,-2.85,0
1458,19.33,-0.60,-2.86,0
1489,19.33,0.67,-2.86,0
1520,20.60,0.67,-2.84,0
1551,19.33,-0.60,-2.84,0
1582,20.60,0.67,-2.84,0
1614,19.33,-0.60,-2.86,0
1645,19.33,0.67,-2.86,0
1676,19.33,0.67,-2.84,0
1707,20.60,0.67,-2.82,0
1738,20.60,-0.60,-2.82,0
1769,19.33,-0.60,-2.83,0
1800,19.33,0.67,-2.83,0
1831,19.33,0.67,-2.81,0
1862,19.33,0.67,-2.79,0
1893,19.33,0.67,-2.77,0
1924,19.33,0.67,-2.75,0
1955,20.60,0.67,-2.73,0
1986,19.33,-0.60,-2.73,0
2017,20.60,0.67,-2.73,0
2048,19.33,-0.94,-2.74,0
2079,20.60,-0.29,-2.75,0
2110,19.33,-2.18,-2.79,0
2141,20.60,-1.53,-2.85,0
2172,19.33,-3.42,-2.92,0
2203,19.33,-2.77,-3.01,0
2234,20.60,-3.39,-3.11,0
2265,19.33,-5.28,-3.24,0
2296,20.60,-4.63,-3.39,0
2327,19.33,-6.52,-3.55,0
2358,19.33,-5.87,-3.74,0
2389,19.33,-6.49,-3.92,0
2420,19.33,-7.11,-4.13,0
2451,19.33,-7.73,-4.35,0
2482,19.33,-8.35,-4.59,0
2513,19.33,-8.97,-4.85,0
2544,19.33,-9.59,-5.14,0
2575,18.07,-10.21,-5.45,0
2606,18.07,-9.57,-5.75,0
2638,18.07,-10.19,-6.37,0
2669,16.81,-10.83,-6.68,0
2700,16.81,-10.19,-7.00,0
2731,15.54,-10.81,-7.31,0
2762,14.28,-10.16,-7.63,0
2793,10.49,-9.52,-7.92,0
2824,7.96,-6.35,-8.16,0
2855,7.96,-4.44,-8.32,0
2886,7.96,-5.06,-8.46,0
2917,7.96,-5.68,-8.62,0
2948,7.96,-6.30,-8.80,0
2979,7.96,-6.92,-9.00,0
3010,7.96,-7.54,-9.22,0
3041,7.96,-7.96,-9.45,0
3072,6.70,-7.96,-9.69,0
3103,6.70,-6.70,-9.91,0
3134,6.70,-6.70,-10.11,0
3165,6.70,-6.70,-10.31,0
3196,6.70,-6.70,-10.51,0
3227,6.70,-6.70,-10.71,0
3258,6.70,-6.70,-10.92,0
