Settings:
filename,251023_cycle_0.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,3.60
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,7.20,7.20,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-1.01,0
62,0.06,2.18,-0.98,0
93,0.06,4.41,-0.88,0
124,2.80,6.64,-0.71,0
155,3.72,4.40,-0.53,0
186,5.19,3.48,-0.40,0
217,6.29,2.01,-0.31,0
248,6.10,0.91,-0.27,0
280,5.55,1.10,-0.24,0
311,5.55,1.65,-0.20,0
342,5.74,1.65,-0.15,0
373,5.92,1.46,-0.10,0
404,6.29,1.28,-0.06,0
435,6.29,0.91,-0.02,0
466,6.10,0.91,0.01,0
497,6.65,1.10,0.04,0
528,6.84,0.55,0.06,0
559,6.84,0.36,0.08,0
590,6.84,0.36,0.09,0
621,7.02,0.36,0.10,0
652,7.02,0.18,0.11,0
683,7.02,0.18,0.11,0
714,6.84,0.18,0.12,0
745,7.02,0.36,0.13,0
776,7.02,0.18,0.14,0
807,7.02,0.18,0.14,0
838,7.20,0.18,0.15,0
869,7.20,-0.00,0.15,0
900,7.20,-0.00,0.15,0
931,7.02,-0.00,0.15,0
963,7.20,0.18,0.15,0
994,7.20,-0.00,0.15,0
1025,7.20,-0.00,0.15,0
1056,7.20,-0.00,0.15,0
1087,7.20,-0.00,0.15,0
1118,7.20,-0.00,0.15,0
1149,7.20,-0.00,0.15,0
1180,7.20,-0.00,0.15,0
1211,7.20,-0.00,0.15,0
1242,7.20,-0.00,0.15,0
1273,7.20,-0.00,0.15,0
1304,7.20,-0.00,0.15,0
1335,7.20,-0.00,0.15,0
1366,7.20,-0.00,0.15,0
1397,7.20,-0.00,0.15,0
1428,7.20,-0.00,0.15,0
1459,7.20,-0.00,0.15,0
1490,7.20,-0.00,0.15,0
1521,7.20,-0.00,0.15,0
1552,7.20,-1.52,0.13,0
1583,7.02,-3.75,0.04,0
1614,7.02,-5.80,-0.10,0
1645,6.84,-7.02,-0.30,0
1676,6.65,-6.84,-0.50,0
1707,5.92,-6.65,-0.71,0
1738,3.72,-5.92,-0.91,0
1769,2.62,-3.72,-1.06,0
1800,1.70,-2.62,-1.15,0
1831,1.15,-1.70,-1.22,0
1862,0.60,-1.15,-1.27,0
1893,0.24,-0.60,-1.29,0
1924,0.06,-0.24,-1.31,0
1955,0.06,-0.06,-1.31,0
1987,0.06,-0.06,-1.31,0
2018,0.06,-0.06,-1.31,0
2049,0.06,-0.06,-1.32,0
2080,0.06,-0.06,-1.32,0
2111,0.06,-0.06,-1.32,0
2142,0.06,-0.06,-1.32,0
2173,0.06,-0.06,-1.32,0
2204,0.06,-0.06,-1.33,0
2235,0.06,-0.06,-1.33,0
2266,0.06,-0.06,-1.33,0
2297,0.06,-0.06,-1.33,0
2328,0.06,-0.06,-1.33,0
2359,0.06,-0.06,-1.33,0
2390,0.06,-0.06,-1.34,0
2421,0.06,-0.06,-1.34,0
2452,0.06,-0.06,-1.34,0
2483,0.06,-0.06,-1.34,0
2514,0.06,-0.06,-1.34,0
2545,0.06,-0.06,-1.34,0
2576,0.06,-0.06,-1.35,0
2607,0.06,-0.06,-1.35,0
2638,0.06,-0.06,-1.35,0
2669,0.06,-0.06,-1.35,0
2700,0.06,-0.06,-1.35,0
2731,0.06,-0.06,-1.35,0
2762,0.06,-0.06,-1.36,0
2793,0.06,-0.06,-1.36,0
2824,0.06,-0.06,-1.36,0
2855,0.06,-0.06,-1.36,0
2886,0.06,-0.06,-1.36,0
2917,0.06,-0.06,-1.36,0
2948,0.06,-0.06,-1.37,0
2979,0.06,-0.06,-1.37,0
3011,0.06,-0.06,-1.37,0
3013,0.06,0.00,0.00,1
3071,0.06,0.00,0.00,0
3102,0.06,0.66,0.01,0
3133,0.97,2.90,0.06,0
3164,3.35,4.21,0.17,0
3195,4.82,3.85,0.29,0
3226,5.92,2.38,0.39,0
3257,6.84,1.28,0.44,0
3288,7.57,0.36,0.47,0
