Settings:
filename,251023_cycle__2.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,2.90
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,15.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,7.20,7.20,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
16,0.06,-0.06,-0.24,0
32,0.06,-0.06,-0.24,0
48,0.06,2.18,-0.20,0
64,0.06,2.18,-0.20,0
80,0.24,4.41,-0.10,0
96,2.99,6.46,0.06,0
112,2.44,6.46,0.06,0
128,2.25,4.76,0.23,0
144,2.44,4.76,0.23,0
160,2.44,4.76,0.37,0
176,2.44,4.76,0.37,0
192,2.44,4.76,0.52,0
208,2.44,4.76,0.52,0
224,2.62,4.76,0.66,0
240,2.44,4.76,0.66,0
256,2.44,4.76,0.80,0
272,2.62,4.76,0.80,0
288,2.44,4.58,0.94,0
304,2.62,4.58,0.94,0
320,2.44,4.58,1.08,0
336,2.62,4.76,1.22,0
352,2.62,4.76,1.22,0
368,2.44,4.58,1.36,0
384,2.62,4.58,1.36,0
400,2.62,4.58,1.50,0
416,2.62,4.58,1.50,0
432,2.62,4.58,1.63,0
448,2.62,4.58,1.63,0
464,2.62,4.58,1.77,0
480,2.62,4.58,1.77,0
496,2.62,4.58,1.91,0
512,2.62,4.58,1.91,0
528,2.44,4.58,2.05,0
544,2.62,4.58,2.05,0
560,2.62,4.58,2.19,0
576,2.62,4.58,2.32,0
592,2.62,4.58,2.32,0
608,2.62,4.58,2.46,0
624,2.62,4.58,2.46,0
640,2.62,4.58,2.60,0
656,2.62,4.58,2.60,0
672,2.62,4.58,2.74,0
688,2.62,4.58,2.74,0
704,2.62,4.58,2.87,0
720,2.62,4.58,2.87,0
736,2.62,4.58,3.01,0
752,2.62,4.58,3.01,0
768,2.62,4.58,3.15,0
784,2.62,4.58,3.15,0
800,2.62,4.58,3.29,0
816,2.62,4.58,3.29,0
832,2.62,4.58,3.43,0
848,2.62,4.58,3.57,0
864,2.62,4.58,3.57,0
880,2.62,4.58,3.70,0
896,2.62,4.58,3.70,0
912,2.62,4.58,3.84,0
928,2.62,4.58,3.84,0
944,2.62,4.58,3.98,0
960,2.62,4.58,3.98,0
976,2.62,4.58,4.12,0
992,2.62,4.58,4.12,0
1008,2.62,4.58,4.25,0
1024,2.62,4.58,4.25,0
1040,2.62,4.58,4.39,0
1056,2.62,4.58,4.39,0
1072,2.62,4.58,4.53,0
1088,2.62,4.58,4.53,0
1104,2.62,4.58,4.68,0
1120,2.62,4.58,4.68,0
1136,2.62,4.58,4.82,0
1152,2.62,4.58,4.96,0
1168,2.62,4.58,4.96,0
1184,2.62,4.58,5.09,0
1200,2.62,4.58,5.09,0
1216,2.62,4.58,5.23,0
1232,2.62,4.58,5.23,0
1248,2.62,4.58,5.37,0
1264,2.62,4.58,5.37,0
1280,2.62,4.58,5.51,0
1296,2.62,4.58,5.51,0
1312,2.62,4.58,5.65,0
