Settings:
filename,251023_cycle_44.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,4.35
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,8.70,8.70,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-0.23,0
62,0.06,2.64,-0.20,0
93,2.62,5.34,-0.07,0
125,3.90,5.47,0.26,0
156,5.00,4.80,0.41,0
187,5.55,3.70,0.54,0
218,6.10,3.15,0.64,0
249,6.47,2.60,0.73,0
280,6.65,2.23,0.80,0
311,7.02,2.05,0.87,0
342,7.39,1.68,0.92,0
373,7.57,1.31,0.97,0
404,7.75,1.13,1.00,0
435,7.94,0.95,1.03,0
466,8.12,0.76,1.06,0
497,8.30,0.58,1.08,0
528,8.49,0.40,1.10,0
559,8.67,0.21,1.10,0
590,8.67,0.03,1.11,0
621,9.04,0.03,1.11,0
652,9.04,-0.34,1.10,0
683,9.04,-0.34,1.09,0
714,9.22,-0.34,1.08,0
745,9.40,-0.52,1.07,0
776,9.40,-0.70,1.05,0
807,9.40,-0.70,1.03,0
838,9.59,-0.70,1.01,0
869,9.77,-0.89,0.99,0
900,9.77,-1.07,0.96,0
931,9.77,-1.07,0.93,0
962,9.77,-1.07,0.89,0
993,9.95,-1.07,0.86,0
1024,9.95,-1.25,0.83,0
1055,9.95,-1.25,0.79,0
1086,10.14,-1.25,0.75,0
1117,10.14,-1.44,0.71,0
1149,10.14,-1.44,0.66,0
1180,10.14,-1.44,0.62,0
1211,10.32,-1.44,0.57,0
1242,10.32,-1.62,0.52,0
1273,10.32,-1.62,0.47,0
1304,10.32,-1.62,0.42,0
1335,10.50,-1.62,0.37,0
1366,10.50,-1.80,0.32,0
1397,10.14,-1.80,0.27,0
1428,10.14,-1.44,0.22,0
1459,10.14,-1.44,0.17,0
1490,9.77,-1.44,0.13,0
1521,9.77,-1.07,0.09,0
1552,7.57,-2.90,0.02,0
1583,6.84,-3.39,-0.08,0
1614,6.65,-5.36,-0.21,0
1645,6.29,-6.65,-0.39,0
1676,5.92,-6.29,-0.59,0
1707,5.74,-5.92,-0.77,0
1738,5.37,-5.74,-0.95,0
1769,5.19,-5.37,-1.12,0
1800,4.82,-5.19,-1.29,0
1831,4.64,-4.82,-1.44,0
1862,4.27,-4.64,-1.59,0
1893,3.90,-4.27,-1.73,0
1924,3.54,-3.90,-1.85,0
1955,3.17,-3.54,-1.97,0
1986,2.62,-3.17,-2.07,0
2017,2.07,-2.62,-2.16,0
2048,1.52,-2.07,-2.24,0
2079,0.97,-1.52,-2.29,0
2110,0.60,-0.97,-2.33,0
2141,0.42,-0.60,-2.35,0
2173,0.24,-0.42,-2.38,0
2204,0.06,-0.24,-2.39,0
2235,0.06,-0.06,-2.40,0
2266,0.06,-0.06,-2.40,0
2297,0.06,-0.06,-2.40,0
2328,0.06,-0.06,-2.40,0
2359,0.06,-0.06,-2.40,0
2390,0.06,-0.06,-2.41,0
2421,0.06,-0.06,-2.41,0
2452,0.06,-0.06,-2.41,0
2483,0.06,-0.06,-2.41,0
2514,0.06,-0.06,-2.41,0
2545,0.06,-0.06,-2.41,0
2576,0.06,-0.06,-2.42,0
2607,0.06,-0.06,-2.42,0
2638,0.06,-0.06,-2.42,0
2669,0.06,-0.06,-2.42,0
2700,0.06,-0.06,-2.42,0
2731,0.06,-0.06,-2.42,0
2762,0.06,-0.06,-2.43,0
2793,0.06,-0.06,-2.43,0
2824,0.06,-0.06,-2.43,0
2855,0.06,-0.06,-2.43,0
2886,0.06,-0.06,-2.43,0
2917,0.06,-0.06,-2.43,0
2948,0.06,-0.06,-2.44,0
2979,0.06,-0.06,-2.44,0
3010,0.06,-0.06,-2.44,0
3012,0.06,0.00,0.00,1
3072,0.06,0.00,0.00,0
3103,0.06,0.90,0.01,0
3134,2.07,3.60,0.08,0
3165,2.99,4.28,0.20,0
3197,4.27,5.71,0.35,0
3228,5.19,4.43,0.50,0
3259,5.55,3.51,0.62,0
3290,6.10,3.15,0.72,0
3321,6.29,2.60,0.81,0
3352,6.65,2.41,0.88,0
3383,7.02,2.05,0.95,0
3414,7.20,1.68,1.00,0
3445,7.39,1.50,1.05,0
3476,7.57,1.31,1.09,0
3507,7.75,1.13,1.13,0
3538,7.75,0.95,1.16,0
3569,7.94,0.95,1.19,0
3600,7.94,0.76,1.22,0
3631,8.12,0.76,1.24,0
3662,8.30,0.58,1.26,0
3693,8.49,0.40,1.28,0
3724,8.67,0.21,1.29,0
3755,8.67,0.03,1.29,0
3786,8.85,0.03,1.29,0
3817,8.85,-0.15,1.29,0
3848,9.04,-0.15,1.28,0
