Settings:
filename,251023_cycle_18.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,4.35
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,8.70,8.70,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,-0.13,-0.06,-2.24,0
62,-0.13,2.83,-2.20,0
93,0.06,5.52,-2.07,0
124,0.06,8.04,-1.86,0
155,0.06,8.64,-1.60,0
186,2.80,8.64,-1.29,0
217,3.90,5.90,-1.07,0
248,5.37,4.80,-0.91,0
279,5.37,3.33,-0.79,0
310,5.00,3.33,-0.69,0
341,5.19,3.70,-0.58,0
372,6.47,3.51,-0.47,0
403,7.20,2.23,-0.38,0
434,7.20,1.50,-0.32,0
465,7.02,1.50,-0.28,0
496,6.84,1.68,-0.23,0
527,7.02,1.86,-0.17,0
558,7.75,1.68,-0.12,0
589,8.30,0.95,-0.08,0
620,8.67,0.40,-0.06,0
651,8.67,0.03,-0.05,0
682,8.49,0.03,-0.05,0
713,8.49,0.21,-0.04,0
744,8.30,0.21,-0.04,0
775,8.49,0.40,-0.03,0
806,8.49,0.21,-0.02,0
837,8.49,0.21,-0.01,0
868,8.30,0.21,-0.00,0
899,8.30,0.40,0.00,0
930,8.30,0.40,0.02,0
961,8.49,0.40,0.03,0
992,8.49,0.21,0.04,0
1023,8.49,0.21,0.04,0
1054,8.49,0.21,0.05,0
1085,8.49,0.21,0.06,0
1116,8.49,0.21,0.06,0
1147,8.49,0.21,0.07,0
1178,8.49,0.21,0.08,0
1209,8.49,0.21,0.08,0
1240,8.67,0.21,0.09,0
1271,8.67,0.03,0.09,0
1302,8.67,0.03,0.10,0
1333,8.67,0.03,0.10,0
1364,8.67,0.03,0.10,0
1395,8.67,0.03,0.10,0
1426,8.67,0.03,0.10,0
1457,8.67,0.03,0.10,0
1488,8.67,0.03,0.10,0
1520,8.67,0.03,0.10,0
1551,8.67,-1.71,0.08,0
1582,6.29,-4.41,-0.03,0
1613,5.00,-4.72,-0.17,0
1644,3.90,-5.00,-0.31,0
1675,2.99,-3.90,-0.45,0
1706,2.07,-2.99,-0.56,0
1737,1.52,-2.07,-0.63,0
1768,0.79,-1.52,-0.69,0
1799,0.42,-0.79,-0.72,0
1830,0.06,-0.42,-0.74,0
1861,0.06,-0.06,-0.75,0
1892,0.06,-0.06,-0.75,0
1923,0.06,-0.06,-0.75,0
1954,0.06,-0.06,-0.75,0
1985,0.06,-0.06,-0.76,0
2016,0.06,-0.06,-0.76,0
2047,0.06,-0.06,-0.76,0
2078,0.06,-0.06,-0.76,0
2109,0.06,-0.06,-0.76,0
2140,0.06,-0.06,-0.76,0
2171,0.06,-0.06,-0.77,0
2202,0.06,-0.06,-0.77,0
2233,0.06,-0.06,-0.77,0
2264,-0.13,-0.06,-0.77,0
2295,0.06,0.13,-0.77,0
2326,-0.13,-0.06,-0.77,0
2357,0.06,0.13,-0.77,0
2388,-0.13,-0.06,-0.77,0
2419,-0.13,0.13,-0.77,0
2450,-0.13,0.13,-0.76,0
2481,-0.13,0.13,-0.76,0
2512,0.06,0.13,-0.75,0
2544,0.06,-0.06,-0.75,0
2575,0.06,-0.06,-0.76,0
2606,0.06,-0.06,-0.76,0
2637,0.06,-0.06,-0.76,0
2668,0.06,-0.06,-0.76,0
2699,0.06,-0.06,-0.76,0
2730,0.06,-0.06,-0.76,0
2761,0.06,-0.06,-0.77,0
2792,0.06,-0.06,-0.77,0
2823,0.06,-0.06,-0.77,0
2854,0.06,-0.06,-0.77,0
2885,0.06,-0.06,-0.77,0
2916,0.06,-0.06,-0.77,0
2947,0.06,-0.06,-0.78,0
2978,0.06,-0.06,-0.78,0
3009,0.06,-0.06,-0.78,0
3011,0.06,0.00,0.00,1
3071,0.06,0.00,0.00,0
3102,0.06,0.81,0.01,0
3133,1.52,3.51,0.08,0
3164,3.35,4.74,0.20,0
3195,4.82,5.35,0.35,0
3226,5.92,3.88,0.49,0
3257,6.65,2.78,0.59,0
3288,7.39,2.05,0.66,0
3319,7.94,1.31,0.71,0
3350,8.49,0.76,0.74,0
3381,8.85,0.21,0.76,0
3412,9.22,-0.15,0.76,0
3443,9.40,-0.52,0.75,0
3474,9.59,-0.70,0.73,0
3505,9.95,-0.89,0.71,0
3536,10.14,-1.25,0.68,0
3568,10.32,-1.44,0.64,0
3599,10.69,-1.62,0.59,0
3630,10.69,-1.99,0.53,0
3661,10.87,-1.99,0.47,0
3692,10.87,-2.17,0.41,0
3723,10.69,-2.17,0.34,0
3754,10.69,-1.99,0.28,0
3785,10.14,-1.99,0.21,0
3816,9.95,-1.44,0.16,0
3847,9.77,-1.25,0.12,0
3878,9.59,-1.07,0.08,0
3909,9.40,-0.89,0.05,0
3940,9.40,-0.70,0.03,0
3971,9.40,-0.70,0.01,0
4002,9.22,-0.70,-0.01,0
4033,9.22,-0.52,-0.03,0
