Settings:
filename,251023_cycle_32.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,4.35
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,8.70,8.70,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-0.29,0
62,0.06,2.64,-0.25,0
93,2.99,5.34,0.03,0
124,4.27,5.10,0.19,0
155,5.37,4.43,0.33,0
186,6.29,3.33,0.45,0
217,7.02,2.41,0.53,0
248,7.57,1.68,0.60,0
279,8.12,1.13,0.64,0
310,8.67,0.58,0.66,0
341,9.04,0.03,0.67,0
372,9.22,-0.34,0.67,0
403,9.40,-0.52,0.65,0
434,9.59,-0.70,0.64,0
465,9.77,-0.89,0.61,0
496,10.14,-1.07,0.58,0
527,10.32,-1.44,0.55,0
558,10.32,-1.62,0.50,0
589,10.50,-1.62,0.45,0
620,10.69,-1.80,0.40,0
651,10.32,-1.99,0.34,0
682,10.50,-1.62,0.29,0
713,10.32,-1.80,0.24,0
744,10.14,-1.62,0.19,0
775,9.95,-1.44,0.14,0
806,9.77,-1.25,0.10,0
837,9.59,-1.07,0.07,0
868,9.40,-0.89,0.04,0
899,9.22,-0.70,0.01,0
930,9.22,-0.52,-0.01,0
961,9.04,-0.52,-0.02,0
992,8.85,-0.34,-0.03,0
1023,8.85,-0.15,-0.04,0
1054,8.67,-0.15,-0.05,0
1085,8.67,0.03,-0.05,0
1116,8.49,0.03,-0.05,0
1147,8.49,0.21,-0.04,0
1179,8.49,0.21,-0.03,0
1210,8.30,0.21,-0.02,0
1241,8.30,0.40,-0.02,0
1272,8.30,0.40,-0.00,0
1303,8.30,0.40,0.01,0
1334,8.30,0.40,0.02,0
1365,8.12,0.40,0.03,0
1396,8.12,0.58,0.05,0
1427,8.12,0.58,0.06,0
1458,8.12,0.58,0.08,0
1489,8.30,0.58,0.10,0
1520,8.30,0.40,0.11,0
1551,8.30,-1.34,0.10,0
1582,7.94,-4.04,0.02,0
1613,5.55,-6.37,-0.14,0
1644,4.27,-5.55,-0.32,0
1675,3.35,-4.27,-0.46,0
1706,2.44,-3.35,-0.58,0
1737,1.89,-2.44,-0.66,0
1768,0.97,-1.89,-0.73,0
1799,0.60,-0.97,-0.77,0
1830,0.24,-0.60,-0.80,0
1861,0.06,-0.24,-0.81,0
1892,0.06,-0.06,-0.81,0
1923,0.06,-0.06,-0.81,0
1954,0.06,-0.06,-0.82,0
1985,0.06,-0.06,-0.82,0
2016,0.06,-0.06,-0.82,0
2047,0.06,-0.06,-0.82,0
2078,0.06,-0.06,-0.82,0
2109,-0.13,-0.06,-0.82,0
2140,0.06,0.13,-0.82,0
2171,0.06,-0.06,-0.82,0
2203,0.06,-0.06,-0.82,0
2234,0.06,-0.06,-0.83,0
2265,0.06,-0.06,-0.83,0
2296,0.06,-0.06,-0.83,0
2327,0.06,-0.06,-0.83,0
2358,0.06,-0.06,-0.83,0
2389,0.06,-0.06,-0.83,0
2420,0.06,-0.06,-0.84,0
2451,0.06,-0.06,-0.84,0
2482,0.06,-0.06,-0.84,0
2513,0.06,-0.06,-0.84,0
2544,0.06,-0.06,-0.84,0
2575,0.06,-0.06,-0.84,0
2606,0.06,-0.06,-0.85,0
2637,0.06,-0.06,-0.85,0
2668,0.06,-0.06,-0.85,0
2699,0.06,-0.06,-0.85,0
2730,0.06,-0.06,-0.85,0
2761,0.06,-0.06,-0.85,0
2792,0.06,-0.06,-0.86,0
2823,-0.13,-0.06,-0.86,0
2854,0.06,0.13,-0.86,0
2885,0.06,-0.06,-0.86,0
2916,0.06,-0.06,-0.86,0
2947,0.06,-0.06,-0.86,0
2978,0.06,-0.06,-0.86,0
3009,-0.13,-0.06,-0.86,0
3011,-0.13,0.00,0.00,1
3071,0.06,0.00,0.00,0
3102,0.06,0.73,0.01,0
3133,1.34,3.42,0.07,0
3164,2.99,4.84,0.20,0
3195,4.64,5.71,0.36,0
3227,5.74,4.06,0.50,0
3258,6.47,2.96,0.61,0
3289,7.02,2.23,0.69,0
3320,7.57,1.68,0.74,0
3351,8.12,1.13,0.79,0
3382,8.67,0.58,0.81,0
3413,9.04,0.03,0.82,0
3444,9.40,-0.34,0.82,0
3475,9.40,-0.70,0.80,0
3506,9.59,-0.70,0.78,0
3537,9.95,-0.89,0.76,0
3568,10.14,-1.25,0.72,0
3599,10.32,-1.44,0.68,0
3630,10.50,-1.62,0.64,0
3661,10.50,-1.80,0.58,0
3692,10.69,-1.80,0.53,0
3723,10.69,-1.99,0.47,0
3754,10.87,-1.99,0.41,0
3785,10.50,-2.17,0.34,0
3816,10.50,-1.80,0.28,0
