Settings:
filename,250828_setup_2.csv
Use KPA?,0
KP,0.01000
KI,0.00000
KD,0.00000
Traj Follow Error Threshold,3.00
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,15.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,2000.00,2100.00,3000.00
Traj pressures,0.00,10.00,10.00,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,50.82,0.00,0.00,0
16,30.66,-50.82,-307.57,0
32,25.90,-50.82,-307.57,0
48,22.05,-22.80,-308.67,0
64,16.55,-22.80,-308.67,0
80,14.53,-10.35,-309.27,0
96,12.70,-10.35,-309.27,0
112,11.42,-3.40,-309.47,0
128,12.15,-3.40,-309.47,0
144,11.24,-2.15,-309.56,0
160,8.49,-1.24,-309.61,0
176,7.75,-1.24,-309.61,0
192,8.30,2.25,-309.59,0
208,7.57,2.25,-309.59,0
224,6.65,2.43,-309.52,0
240,6.10,2.43,-309.52,0
256,7.57,3.90,-309.43,0
272,4.64,3.90,-309.43,0
288,4.09,5.36,-309.29,0
304,5.55,5.36,-309.29,0
320,2.44,4.45,-309.14,0
336,1.89,4.45,-309.14,0
352,3.35,8.11,-308.95,0
368,-0.49,8.11,-308.95,0
384,-1.04,10.49,-308.67,0
400,-1.96,11.04,-308.35,0
416,-3.79,11.04,-308.35,0
432,-4.34,13.79,-307.98,0
448,-5.08,13.79,-307.98,0
464,-5.81,15.08,-307.55,0
480,-6.18,15.08,-307.55,0
496,-6.91,16.18,-307.08,0
512,-7.64,16.18,-307.08,0
528,-8.38,17.64,-306.57,0
544,-8.74,17.64,-306.57,0
560,-9.29,18.74,-306.02,0
576,-8.74,18.74,-306.02,0
592,-8.93,18.74,-305.46,0
608,-9.29,18.74,-305.46,0
624,-9.11,19.29,-304.89,0
640,-9.48,19.29,-304.89,0
656,-10.03,19.48,-304.27,0
672,-10.21,20.03,-303.68,0
688,-10.76,20.03,-303.68,0
704,-10.76,20.76,-303.07,0
720,-11.31,20.76,-303.07,0
736,-11.86,21.31,-302.44,0
752,-12.59,21.31,-302.44,0
768,-13.14,22.59,-301.78,0
784,-13.69,22.59,-301.78,0
800,-14.97,23.69,-301.08,0
816,-15.52,23.69,-301.08,0
832,-16.07,25.52,-300.34,0
848,-16.44,25.52,-300.34,0
864,-16.81,26.44,-299.56,0
880,-17.17,26.44,-299.56,0
896,-17.36,27.17,-298.76,0
912,-17.36,27.36,-297.94,0
928,-17.72,27.36,-297.94,0
944,-18.09,27.72,-297.12,0
960,-17.36,27.72,-297.12,0
976,-17.54,27.36,-296.29,0
992,-16.99,27.36,-296.29,0
1008,-16.26,26.99,-295.47,0
1024,-16.26,26.99,-295.47,0
1040,-16.44,26.26,-294.68,0
1056,-16.26,26.26,-294.68,0
1072,-16.62,26.26,-293.89,0
1088,-16.62,26.26,-293.89,0
1104,-16.81,26.62,-293.10,0
1120,-16.99,26.62,-293.10,0
1136,-17.17,26.99,-292.29,0
