Settings:
filename,251023_cycle_4.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,3.60
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,7.20,7.20,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-0.31,0
62,0.06,2.18,-0.28,0
93,2.80,4.41,-0.17,0
124,3.72,3.89,-0.05,0
155,5.19,3.48,0.07,0
186,6.10,2.01,0.17,0
217,6.65,1.10,0.21,0
248,7.39,0.55,0.24,0
279,7.75,-0.19,0.24,0
310,8.30,-0.55,0.23,0
341,8.12,-1.10,0.21,0
372,8.12,-0.92,0.18,0
403,7.94,-0.92,0.15,0
434,7.75,-0.74,0.12,0
465,7.75,-0.55,0.10,0
496,7.75,-0.55,0.09,0
527,7.75,-0.55,0.07,0
558,7.57,-0.55,0.05,0
589,7.57,-0.37,0.04,0
620,7.39,-0.37,0.03,0
652,7.39,-0.19,0.01,0
683,7.39,-0.19,0.01,0
714,7.20,-0.19,-0.00,0
745,7.20,-0.00,-0.00,0
776,7.20,-0.00,-0.00,0
807,7.02,-0.00,-0.00,0
838,7.02,0.18,-0.00,0
869,7.02,0.18,0.00,0
900,6.84,0.18,0.01,0
931,6.84,0.36,0.02,0
962,6.84,0.36,0.03,0
993,6.84,0.36,0.04,0
1024,6.84,0.36,0.05,0
1055,6.84,0.36,0.06,0
1086,6.84,0.36,0.07,0
1117,6.84,0.36,0.08,0
1148,6.84,0.36,0.09,0
1179,6.84,0.36,0.11,0
1210,6.84,0.36,0.12,0
1241,7.02,0.36,0.13,0
1272,7.02,0.18,0.14,0
1303,7.02,0.18,0.14,0
1334,7.02,0.18,0.15,0
1365,7.02,0.18,0.15,0
1396,7.20,0.18,0.16,0
1427,7.20,-0.00,0.16,0
1458,7.02,-0.00,0.16,0
1489,7.02,0.18,0.16,0
1520,7.20,0.18,0.17,0
1551,7.02,-1.44,0.15,0
1582,5.55,-3.49,0.06,0
1613,4.45,-4.26,-0.05,0
1644,3.35,-4.45,-0.18,0
1676,2.44,-3.35,-0.30,0
1707,1.70,-2.44,-0.39,0
1738,1.15,-1.70,-0.46,0
1769,0.60,-1.15,-0.50,0
1800,0.24,-0.60,-0.53,0
1831,0.06,-0.24,-0.54,0
1862,0.06,-0.06,-0.54,0
1893,0.06,-0.06,-0.55,0
1924,0.06,-0.06,-0.55,0
1955,0.06,-0.06,-0.55,0
1986,0.06,-0.06,-0.55,0
