Settings:
filename,251023_cycle_48.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,4.35
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,8.70,8.70,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-0.25,0
62,0.06,2.64,-0.21,0
93,2.62,5.34,-0.09,0
124,3.54,5.47,0.24,0
155,3.90,5.16,0.40,0
186,4.09,4.80,0.55,0
217,4.09,4.61,0.69,0
248,4.09,4.61,0.83,0
279,4.09,4.61,0.97,0
310,4.27,4.61,1.10,0
341,4.45,4.43,1.24,0
372,4.45,4.25,1.37,0
403,4.45,4.25,1.50,0
434,4.27,4.25,1.63,0
465,4.09,4.43,1.76,0
496,4.09,4.61,1.89,0
527,4.27,4.61,2.03,0
558,4.27,4.43,2.16,0
589,4.27,4.43,2.30,0
620,4.45,4.43,2.43,0
651,4.27,4.25,2.56,0
682,4.27,4.43,2.69,0
713,4.09,4.43,2.82,0
744,4.09,4.61,2.96,0
775,4.27,4.61,3.10,0
806,4.27,4.43,3.23,0
837,4.45,4.43,3.37,0
868,4.27,4.25,3.50,0
899,4.27,4.43,3.63,0
930,4.27,4.43,3.76,0
961,4.09,4.43,3.89,0
992,4.09,4.61,4.03,0
1023,4.27,4.61,4.17,0
1054,4.45,4.43,4.31,0
1085,4.27,4.25,4.44,0
1116,4.27,4.43,4.58,0
1147,4.27,4.43,4.71,0
1178,4.27,4.43,4.85,0
1209,4.09,4.43,4.99,0
1240,4.27,4.61,5.13,0
1271,4.27,4.43,5.27,0
1302,4.27,4.43,5.41,0
1333,4.27,4.43,5.54,0
1364,4.27,4.43,5.68,0
1395,4.27,4.43,5.82,0
1426,4.09,4.43,5.95,0
1457,4.27,4.61,6.09,0
1488,4.27,4.43,6.23,0
1519,4.27,4.43,6.37,0
1550,4.27,2.78,6.48,0
1581,4.27,0.08,6.53,0
1612,4.27,-2.62,6.48,0
1643,4.09,-4.27,6.38,0
1674,4.27,-4.09,6.25,0
1705,4.27,-4.27,6.13,0
1736,4.27,-4.27,6.00,0
1767,4.27,-4.27,5.87,0
1798,4.27,-4.27,5.74,0
1829,4.27,-4.27,5.60,0
1860,4.27,-4.27,5.47,0
1891,4.09,-4.27,5.34,0
1922,4.27,-4.09,5.21,0
1953,4.27,-4.27,5.08,0
1984,4.27,-4.27,4.95,0
2015,4.27,-4.27,4.82,0
2046,4.27,-4.27,4.68,0
2077,4.27,-4.27,4.55,0
2108,4.27,-4.27,4.42,0
2139,4.09,-4.27,4.29,0
2170,4.27,-4.09,4.16,0
2201,4.27,-4.27,4.03,0
2232,4.27,-4.27,3.89,0
2263,4.27,-4.27,3.75,0
2294,4.27,-4.27,3.62,0
2325,4.27,-4.27,3.49,0
2356,4.27,-4.27,3.36,0
2387,4.27,-4.27,3.23,0
2418,4.27,-4.27,3.10,0
2449,4.27,-4.27,2.97,0
2480,4.27,-4.27,2.84,0
2511,4.27,-4.27,2.70,0
2542,4.27,-4.27,2.57,0
2573,4.09,-4.27,2.44,0
2604,4.27,-4.09,2.31,0
2635,4.27,-4.27,2.18,0
2666,4.27,-4.27,2.05,0
2697,4.27,-4.27,1.91,0
2728,4.27,-4.27,1.78,0
2759,4.27,-4.27,1.65,0
2790,4.09,-4.27,1.52,0
2822,4.27,-4.09,1.27,0
2853,4.27,-4.27,1.14,0
2884,4.27,-4.27,1.01,0
2915,4.27,-4.27,0.88,0
2946,2.07,-4.27,0.76,0
2977,1.52,-2.07,0.66,0
3008,1.70,-1.52,0.61,0
3010,1.70,0.00,0.00,1
3069,4.09,0.00,0.00,0
3100,2.99,-3.22,-0.05,0
3131,2.25,0.58,-0.09,0
3163,2.07,4.01,-0.02,0
3194,3.54,6.63,0.14,0
3225,3.90,5.16,0.32,0
3256,4.09,4.80,0.47,0
3287,4.27,4.61,0.61,0
3318,4.45,4.43,0.74,0
3349,4.27,4.25,0.87,0
3380,4.27,4.43,1.00,0
3411,4.09,4.43,1.14,0
3442,4.09,4.61,1.28,0
3473,4.27,4.61,1.42,0
3504,4.27,4.43,1.55,0
3535,4.45,4.43,1.68,0
3566,4.45,4.25,1.81,0
3597,4.27,4.25,1.95,0
3628,4.27,4.43,2.08,0
3659,4.09,4.43,2.22,0
3690,4.09,4.61,2.35,0
3721,4.27,4.61,2.49,0
3752,4.45,4.43,2.63,0
3783,4.27,4.25,2.77,0
3814,4.27,4.43,2.90,0
3846,4.27,4.43,3.17,0
3877,4.27,4.43,3.30,0
3908,4.27,4.43,3.44,0
3939,4.27,4.43,3.57,0
3970,4.27,4.43,3.70,0
4001,4.27,4.43,3.83,0
4032,4.27,4.43,3.97,0
4063,4.27,4.43,4.10,0
4094,4.09,4.43,4.23,0
4125,4.09,4.61,4.37,0
4156,4.09,4.61,4.51,0
4187,4.09,4.61,4.65,0
4218,4.27,4.61,4.78,0
4249,4.27,4.43,4.92,0
4280,4.27,4.43,5.05,0
4311,4.09,4.43,5.19,0
4342,4.09,4.61,5.32,0
4373,4.27,4.61,5.46,0
4404,4.27,4.43,5.60,0
4435,4.27,4.43,5.73,0
4466,4.27,4.43,5.86,0
4497,4.27,4.43,5.99,0
4528,4.27,4.43,6.13,0
4559,4.09,4.43,6.26,0
4590,4.09,4.61,6.40,0
4621,4.27,1.92,6.49,0
4652,4.27,-0.96,6.51,0
4683,4.27,-3.66,6.44,0
4714,4.27,-4.27,6.32,0
4745,4.27,-4.27,6.19,0
4776,4.27,-4.27,6.06,0
4807,4.09,-4.27,5.93,0
4838,4.27,-4.09,5.80,0
4870,4.27,-4.27,5.67,0
4901,4.27,-4.27,5.53,0
4932,4.27,-4.27,5.40,0
4963,4.27,-4.27,5.27,0
4994,4.27,-4.27,5.12,0
5025,4.27,-4.27,4.99,0
5056,4.27,-4.27,4.86,0
5087,4.27,-4.27,4.73,0
5118,4.27,-4.27,4.60,0
5149,4.27,-4.27,4.47,0
5180,4.27,-4.27,4.34,0
5211,4.27,-4.27,4.21,0
5242,4.27,-4.27,4.07,0
5273,4.27,-4.27,3.94,0
5304,4.27,-4.27,3.81,0
5335,4.27,-4.27,3.68,0
5366,4.27,-4.27,3.54,0
5397,4.27,-4.27,3.41,0
5428,4.27,-4.27,3.28,0
5459,4.27,-4.27,3.15,0
5490,4.27,-4.27,3.02,0
5521,4.27,-4.27,2.88,0
