Settings:
filename,251023_cycle_2.csv
Use KPA?,0
KP,0.72000
KI,3.38000
KD,0.00000
Traj Follow Error Threshold,3.60
Filter alpha,0.00000
Sensor offset,0.11000
Pressure Read Delay,30.00
Interpolation Calculation Delay,30
Controller Delay,30
Traj times,0.00,100.00,1500.00,1600.00,3000.00
Traj pressures,0.00,7.20,7.20,0.00,0.00
Data:
time,pressure,error,integral,cycle_start
0,0.06,0.00,0.00,0
31,0.06,-0.06,-0.23,0
62,0.06,2.18,-0.20,0
93,2.62,4.41,-0.10,0
124,3.54,4.08,0.15,0
155,4.82,3.66,0.27,0
186,5.55,2.38,0.36,0
217,6.10,1.65,0.42,0
248,6.47,1.10,0.46,0
279,6.84,0.73,0.49,0
310,7.20,0.36,0.50,0
341,7.57,-0.00,0.51,0
372,7.75,-0.37,0.50,0
403,7.94,-0.55,0.49,0
434,8.12,-0.74,0.47,0
465,8.30,-0.92,0.45,0
496,8.49,-1.10,0.41,0
527,8.49,-1.29,0.38,0
558,8.67,-1.29,0.34,0
589,8.12,-1.47,0.30,0
620,8.85,-0.92,0.26,0
651,8.49,-1.65,0.22,0
682,8.49,-1.29,0.18,0
713,8.30,-1.29,0.14,0
744,8.30,-1.10,0.11,0
775,8.30,-1.10,0.07,0
806,8.30,-1.10,0.04,0
837,8.30,-1.10,0.01,0
868,8.12,-1.10,-0.03,0
899,8.12,-0.92,-0.06,0
930,8.12,-0.92,-0.08,0
961,7.75,-0.92,-0.11,0
992,7.75,-0.55,-0.13,0
1023,7.57,-0.55,-0.15,0
1054,7.57,-0.37,-0.16,0
1085,7.57,-0.37,-0.18,0
1116,7.39,-0.37,-0.19,0
1147,7.39,-0.19,-0.20,0
1178,7.20,-0.19,-0.20,0
1209,7.20,-0.00,-0.20,0
1240,7.02,-0.00,-0.20,0
1271,7.20,0.18,-0.20,0
1302,7.02,-0.00,-0.20,0
1333,7.20,0.18,-0.20,0
1364,7.02,-0.00,-0.19,0
1395,7.02,0.18,-0.19,0
1426,7.02,0.18,-0.19,0
1457,6.84,0.18,-0.18,0
1488,6.84,0.36,-0.17,0
1519,6.84,0.36,-0.16,0
1550,6.65,-1.00,-0.17,0
1581,6.47,-3.05,-0.23,0
1612,5.74,-5.10,-0.35,0
1643,4.45,-5.74,-0.52,0
1674,3.72,-4.45,-0.67,0
1705,2.99,-3.72,-0.80,0
1736,2.44,-2.99,-0.91,0
1767,1.70,-2.44,-0.99,0
1798,1.15,-1.70,-1.05,0
1829,0.79,-1.15,-1.10,0
1860,0.42,-0.79,-1.13,0
1891,0.24,-0.42,-1.15,0
1922,0.06,-0.24,-1.16,0
1953,0.06,-0.06,-1.16,0
1984,0.06,-0.06,-1.16,0
2015,0.06,-0.06,-1.16,0
2047,0.06,-0.06,-1.17,0
2078,0.06,-0.06,-1.17,0
2109,0.06,-0.06,-1.17,0
2140,0.06,-0.06,-1.17,0
2171,0.06,-0.06,-1.17,0
2202,0.06,-0.06,-1.18,0
2233,0.06,-0.06,-1.18,0
2264,0.06,-0.06,-1.18,0
2295,0.06,-0.06,-1.18,0
2326,0.06,-0.06,-1.18,0
2357,0.06,-0.06,-1.18,0
2388,0.06,-0.06,-1.19,0
2419,0.06,-0.06,-1.19,0
2450,0.06,-0.06,-1.19,0
2481,0.06,-0.06,-1.19,0
2512,0.06,-0.06,-1.19,0
2543,0.06,-0.06,-1.19,0
2574,0.06,-0.06,-1.20,0
2605,0.06,-0.06,-1.20,0
2636,0.06,-0.06,-1.20,0
2667,0.06,-0.06,-1.20,0
2698,0.06,-0.06,-1.20,0
2729,0.06,-0.06,-1.20,0
2760,0.06,-0.06,-1.21,0
2791,0.06,-0.06,-1.21,0
2822,0.06,-0.06,-1.21,0
2853,0.06,-0.06,-1.21,0
2884,0.06,-0.06,-1.21,0
2915,0.06,-0.06,-1.21,0
2946,0.06,-0.06,-1.22,0
2977,0.06,-0.06,-1.22,0
3008,0.06,-0.06,-1.22,0
3010,0.06,0.00,0.00,1
3068,0.06,0.00,0.00,0
3099,0.06,0.66,0.01,0
3130,1.15,2.90,0.06,0
3161,2.99,4.03,0.17,0
3192,4.27,4.21,0.29,0
3223,5.19,2.93,0.40,0
3254,5.74,2.01,0.47,0
3285,6.29,1.46,0.52,0
3316,6.65,0.91,0.56,0
3347,7.02,0.55,0.58,0
3378,7.39,0.18,0.59,0
3409,7.57,-0.19,0.59,0
3440,7.94,-0.37,0.59,0
3471,8.12,-0.74,0.57,0
3502,8.30,-0.92,0.54,0
3533,8.30,-1.10,0.51,0
3564,8.49,-1.10,0.48,0
3595,8.67,-1.29,0.44,0
3626,8.85,-1.47,0.40,0
3657,9.04,-1.65,0.35,0
3688,9.04,-1.84,0.30,0
3719,8.67,-1.84,0.24,0
3750,8.67,-1.47,0.19,0
3781,8.67,-1.47,0.15,0
