Settings:,,
Use KPA,0,
KP,0.36,
KI,2.4,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 2000.00, 2100.00, 4000.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.23,0
0.032,0.06,1.74,-0.2,0
0.048,0.06,1.74,-0.2,0
0.064,0.06,1.74,-0.15,0
0.08,0.06,1.74,-0.15,0
0.096,0.06,3.54,-0.07,0
0.112,0.06,3.54,-0.07,0
0.128,1.52,5.34,0.06,0
0.144,2.25,5.34,0.06,0
0.16,2.8,3.55,0.19,0
0.176,3.35,3.55,0.19,0
0.192,3.72,2.45,0.29,0
0.208,4.09,2.45,0.29,0
0.224,4.45,1.71,0.35,0
0.24,4.82,1.71,0.35,0
0.256,5,0.98,0.39,0
0.272,5.37,0.98,0.39,0
0.288,5.55,0.43,0.41,0
0.304,5.74,0.25,0.42,0
0.32,5.92,0.25,0.42,0
0.336,6.1,-0.12,0.42,0
0.352,6.29,-0.12,0.42,0
0.368,6.47,-0.49,0.41,0
0.384,6.47,-0.49,0.41,0
0.4,6.47,-0.67,0.4,0
0.416,6.47,-0.67,0.4,0
0.432,6.47,-0.67,0.38,0
0.448,6.47,-0.67,0.38,0
0.464,6.47,-0.67,0.36,0
0.48,6.47,-0.67,0.36,0
0.496,6.47,-0.67,0.34,0
0.512,6.47,-0.67,0.34,0
0.528,6.47,-0.67,0.32,0
0.544,6.47,-0.67,0.3,0
0.56,6.65,-0.67,0.3,0
0.576,6.47,-0.85,0.27,0
0.592,6.47,-0.85,0.27,0
0.608,6.47,-0.67,0.25,0
0.624,6.47,-0.67,0.25,0
0.64,6.47,-0.67,0.23,0
0.656,6.29,-0.67,0.23,0
0.672,6.47,-0.49,0.21,0
0.688,6.47,-0.49,0.21,0
0.704,6.47,-0.67,0.2,0
0.72,6.47,-0.67,0.2,0
0.736,6.47,-0.67,0.18,0
0.752,6.47,-0.67,0.18,0
0.768,6.47,-0.67,0.16,0
0.784,6.47,-0.67,0.14,0
0.8,6.47,-0.67,0.14,0
0.816,6.47,-0.67,0.12,0
0.832,6.47,-0.67,0.12,0
0.848,6.47,-0.67,0.1,0
0.864,6.29,-0.67,0.1,0
0.88,6.29,-0.49,0.08,0
0.896,6.29,-0.49,0.08,0
0.912,6.29,-0.49,0.06,0
0.928,6.29,-0.49,0.06,0
0.944,6.29,-0.49,0.05,0
0.96,6.29,-0.49,0.05,0
0.976,6.29,-0.49,0.03,0
0.992,6.29,-0.49,0.03,0
1.008,6.29,-0.49,0.02,0
1.024,6.29,-0.49,0,0
1.04,6.29,-0.49,0,0
1.056,6.29,-0.49,-0.01,0
1.072,6.29,-0.49,-0.01,0
1.088,6.1,-0.49,-0.02,0
1.104,6.1,-0.49,-0.02,0
1.12,6.1,-0.3,-0.04,0
1.136,6.1,-0.3,-0.04,0
1.152,6.1,-0.3,-0.05,0
1.168,6.1,-0.3,-0.05,0
1.184,5.92,-0.3,-0.05,0
1.2,5.92,-0.3,-0.05,0
1.216,5.92,-0.12,-0.06,0
1.232,6.1,-0.12,-0.06,0
1.248,5.92,-0.3,-0.07,0
1.264,5.92,-0.12,-0.07,0
1.28,5.92,-0.12,-0.07,0
1.296,5.92,-0.12,-0.08,0
1.312,5.92,-0.12,-0.08,0
1.328,5.92,-0.12,-0.08,0
1.344,5.92,-0.12,-0.08,0
1.36,5.92,-0.12,-0.08,0
1.376,5.92,-0.12,-0.08,0
1.392,5.92,-0.12,-0.09,0
1.408,5.74,-0.12,-0.09,0
1.424,5.92,0.06,-0.09,0
1.44,5.74,0.06,-0.09,0
1.456,5.74,0.06,-0.09,0
1.472,5.74,0.06,-0.09,0
1.488,5.74,0.06,-0.09,0
1.504,5.74,0.06,-0.08,0
1.52,5.74,0.06,-0.08,0
1.536,5.74,0.06,-0.08,0
1.552,5.74,0.06,-0.08,0
1.568,5.74,0.06,-0.08,0
1.584,5.74,0.06,-0.08,0
1.6,5.74,0.06,-0.08,0
1.616,5.55,0.06,-0.08,0
1.632,5.55,0.25,-0.07,0
1.648,5.55,0.25,-0.07,0
1.664,5.55,0.25,-0.07,0
1.68,5.55,0.25,-0.07,0
1.696,5.55,0.25,-0.06,0
1.712,5.55,0.25,-0.06,0
1.728,5.55,0.25,-0.05,0
1.744,5.55,0.25,-0.04,0
1.76,5.55,0.25,-0.04,0
1.776,5.37,0.25,-0.04,0
1.792,5.55,0.25,-0.04,0
1.808,5.37,0.25,-0.03,0
1.824,5.37,0.25,-0.03,0
1.84,5.37,0.43,-0.02,0
1.856,5.37,0.43,-0.02,0
1.872,5.37,0.43,-0.01,0
1.888,5.37,0.43,-0.01,0
1.904,5.37,0.43,0.01,0
1.92,5.37,0.43,0.01,0
1.936,5.37,0.43,0.02,0
1.952,5.37,0.43,0.02,0
1.968,5.37,0.43,0.03,0
1.984,5.37,0.43,0.03,0
2,5.37,0.43,0.05,0
2.016,5.37,0.43,0.06,0
2.032,5.37,0.43,0.06,0
2.048,5.19,-0.61,0.06,0
2.064,5.19,-0.61,0.06,0
2.08,5.19,-2.23,0.01,0
2.096,5.19,-2.23,0.01,0
2.112,5.19,-4.03,-0.08,0
2.128,5.19,-4.03,-0.08,0
2.144,5.19,-5.19,-0.22,0
2.16,5.19,-5.19,-0.22,0
2.176,5.19,-5.19,-0.37,0
2.192,5,-5.19,-0.37,0
2.208,5.19,-5,-0.53,0
2.224,5,-5,-0.53,0
2.24,5,-5,-0.68,0
2.256,5,-5,-0.83,0
2.272,5,-5,-0.83,0
2.288,5,-5,-0.98,0
2.304,5,-5,-0.98,0
2.32,5,-5,-1.13,0
2.336,5,-5,-1.13,0
2.352,5,-5,-1.28,0
2.368,5,-5,-1.28,0
2.384,4.82,-5,-1.43,0
2.4,5,-5,-1.43,0
2.416,4.82,-5,-1.58,0
2.432,4.82,-5,-1.58,0
2.448,4.82,-4.82,-1.73,0
2.464,4.82,-4.82,-1.73,0
2.48,4.82,-4.82,-1.87,0
2.496,4.82,-4.82,-2.02,0
2.512,4.82,-4.82,-2.02,0
2.528,4.82,-4.82,-2.16,0
2.544,4.82,-4.82,-2.16,0
2.56,4.82,-4.82,-2.31,0
2.576,4.82,-4.82,-2.31,0
2.592,4.82,-4.82,-2.45,0
2.608,4.64,-4.82,-2.45,0
2.624,4.64,-4.64,-2.59,0
2.64,4.64,-4.64,-2.59,0
2.656,4.64,-4.64,-2.73,0
2.672,4.45,-4.64,-2.73,0
2.688,4.64,-4.45,-2.87,0
2.704,4.64,-4.45,-2.87,0
2.72,4.45,-4.64,-3.01,0
2.736,4.45,-4.45,-3.14,0
2.752,4.45,-4.45,-3.14,0
2.768,4.45,-4.45,-3.28,0
2.784,4.45,-4.45,-3.28,0
2.8,4.45,-4.45,-3.41,0
2.816,4.45,-4.45,-3.41,0
2.832,4.45,-4.45,-3.54,0
2.848,4.45,-4.45,-3.54,0
2.864,4.45,-4.45,-3.68,0
2.88,4.45,-4.45,-3.68,0
2.896,4.45,-4.45,-3.81,0
2.912,4.27,-4.45,-3.81,0
2.928,4.27,-4.27,-3.94,0
2.944,4.27,-4.27,-3.94,0
2.96,4.27,-4.27,-4.07,0
2.976,4.27,-4.27,-4.2,0
