Settings:,,
Use KPA,0,
KP,0.1,
KI,5e-05,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 2000.00, 2100.00, 4000.00, ",""
"Traj pressures","0.00, 5.80, 5.80, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.25,0
0.032,-0.13,1.74,-0.22,0
0.048,-0.13,1.74,-0.22,0
0.064,0.06,1.93,-0.17,0
0.08,-0.13,1.93,-0.17,0
0.096,0.06,3.72,-0.08,0
0.112,0.06,3.72,-0.08,0
0.128,0.24,5.34,0.05,0
0.144,0.6,5.34,0.05,0
0.16,0.97,5.2,0.21,0
0.176,1.52,5.2,0.21,0
0.192,1.89,4.28,0.35,0
0.208,2.25,4.28,0.35,0
0.224,2.44,3.55,0.47,0
0.24,2.8,3.55,0.47,0
0.256,2.99,3,0.57,0
0.272,3.17,3,0.57,0
0.288,3.35,2.63,0.66,0
0.304,3.72,2.45,0.73,0
0.32,3.9,2.45,0.73,0
0.336,4.09,1.9,0.8,0
0.352,4.27,1.9,0.8,0
0.368,4.45,1.53,0.85,0
0.384,4.64,1.53,0.85,0
0.4,4.82,1.16,0.89,0
0.416,5,1.16,0.89,0
0.432,5.19,0.8,0.92,0
0.448,5.19,0.8,0.92,0
0.464,5.37,0.61,0.94,0
0.48,5.55,0.61,0.94,0
0.496,5.74,0.25,0.95,0
0.512,5.92,0.25,0.95,0
0.528,5.74,-0.12,0.96,0
0.544,5.74,-0.12,0.96,0
0.56,5.74,0.06,0.95,0
0.576,5.74,0.06,0.96,0
0.592,5.74,0.06,0.96,0
0.608,5.74,0.06,0.96,0
0.624,5.74,0.06,0.96,0
0.64,5.74,0.06,0.96,0
0.656,5.74,0.06,0.96,0
0.672,5.74,0.06,0.96,0
0.688,5.74,0.06,0.96,0
0.704,5.74,0.06,0.96,0
0.72,5.74,0.06,0.96,0
0.736,5.74,0.06,0.97,0
0.752,5.74,0.06,0.97,0
0.768,5.74,0.06,0.97,0
0.784,5.74,0.06,0.97,0
0.8,5.74,0.06,0.97,0
0.816,5.55,0.06,0.97,0
0.832,5.74,0.06,0.97,0
0.848,5.74,0.06,0.97,0
0.864,5.74,0.06,0.97,0
0.88,5.55,0.06,0.98,0
0.896,5.74,0.06,0.98,0
0.912,5.74,0.06,0.98,0
0.928,5.74,0.06,0.98,0
0.944,5.74,0.06,0.98,0
0.96,5.74,0.06,0.98,0
0.976,5.74,0.06,0.98,0
0.992,5.74,0.06,0.98,0
1.008,5.55,0.06,0.98,0
1.024,5.74,0.06,0.98,0
1.04,5.55,0.06,0.99,0
1.056,5.74,0.06,0.99,0
1.072,5.55,0.06,0.99,0
1.088,5.74,0.25,0.99,0
1.104,5.55,0.25,0.99,0
1.12,5.74,0.25,1,0
1.136,5.74,0.25,1,0
1.152,5.74,0.06,1,0
1.168,5.74,0.06,1,0
1.184,5.74,0.06,1.01,0
1.2,5.55,0.06,1.01,0
1.216,5.74,0.25,1.01,0
1.232,5.74,0.25,1.01,0
1.248,5.74,0.06,1.02,0
1.264,5.74,0.06,1.02,0
1.28,5.74,0.06,1.02,0
1.296,5.74,0.06,1.02,0
1.312,5.55,0.06,1.02,0
1.328,5.74,0.25,1.02,0
1.344,5.74,0.25,1.02,0
1.36,5.74,0.06,1.03,0
1.376,5.74,0.06,1.03,0
1.392,5.74,0.06,1.03,0
1.408,5.74,0.06,1.03,0
1.424,5.74,0.06,1.03,0
1.44,5.74,0.06,1.03,0
1.456,5.74,0.06,1.03,0
1.472,5.74,0.06,1.03,0
1.488,5.55,0.06,1.04,0
1.504,5.74,0.06,1.04,0
1.52,5.74,0.06,1.04,0
1.536,5.55,0.06,1.04,0
1.552,5.55,0.25,1.04,0
1.568,5.74,0.25,1.05,0
1.584,5.55,0.25,1.05,0
1.6,5.74,0.25,1.06,0
1.616,5.74,0.25,1.06,0
1.632,5.74,0.06,1.06,0
1.648,5.74,0.06,1.06,0
1.664,5.74,0.06,1.06,0
1.68,5.74,0.06,1.06,0
1.696,5.74,0.06,1.07,0
1.712,5.74,0.06,1.07,0
1.728,5.74,0.06,1.07,0
1.744,5.74,0.06,1.07,0
1.76,5.74,0.06,1.07,0
1.776,5.74,0.06,1.07,0
1.792,5.74,0.06,1.07,0
1.808,5.74,0.06,1.07,0
1.824,5.74,0.06,1.07,0
1.84,5.74,0.06,1.08,0
1.856,5.74,0.06,1.08,0
1.872,5.74,0.06,1.08,0
1.888,5.74,0.06,1.08,0
1.904,5.74,0.06,1.08,0
1.92,5.55,0.06,1.08,0
1.936,5.55,0.25,1.08,0
1.952,5.74,0.25,1.08,0
1.968,5.74,0.06,1.09,0
1.984,5.74,0.06,1.09,0
2,5.55,0.06,1.09,0
2.016,5.55,0.06,1.09,0
2.032,5.55,-0.62,1.08,0
2.048,5.55,-2.42,1.04,0
2.064,5.74,-2.42,1.04,0
2.08,5.74,-4.4,0.93,0
2.096,5.74,-4.4,0.93,0
2.112,5.74,-5.74,0.78,0
2.128,5.55,-5.74,0.78,0
2.144,5.74,-5.55,0.61,0
2.16,5.74,-5.55,0.61,0
2.176,5.55,-5.74,0.44,0
2.192,5.74,-5.74,0.44,0
2.208,5.74,-5.74,0.27,0
2.224,5.74,-5.74,0.27,0
2.24,5.74,-5.74,0.1,0
2.256,5.74,-5.74,0.1,0
2.272,5.74,-5.74,-0.07,0
2.288,5.74,-5.74,-0.25,0
2.304,5.74,-5.74,-0.25,0
2.32,5.74,-5.74,-0.42,0
2.336,5.74,-5.74,-0.42,0
2.352,5.74,-5.74,-0.6,0
2.368,5.74,-5.74,-0.6,0
2.384,5.74,-5.74,-0.77,0
2.4,5.74,-5.74,-0.77,0
2.416,5.74,-5.74,-0.94,0
2.432,5.74,-5.74,-0.94,0
2.448,5.74,-5.74,-1.11,0
2.464,5.55,-5.74,-1.11,0
2.48,5.74,-5.55,-1.28,0
2.496,5.55,-5.55,-1.28,0
2.512,5.74,-5.55,-1.45,0
2.528,5.74,-5.55,-1.45,0
2.544,5.74,-5.74,-1.62,0
2.56,5.74,-5.74,-1.79,0
2.576,5.55,-5.74,-1.79,0
2.592,5.55,-5.55,-1.96,0
2.608,5.55,-5.55,-1.96,0
2.624,5.55,-5.55,-2.13,0
2.64,5.55,-5.55,-2.13,0
2.656,5.55,-5.55,-2.29,0
2.672,5.55,-5.55,-2.29,0
2.688,5.55,-5.55,-2.46,0
2.704,5.55,-5.55,-2.46,0
2.72,5.55,-5.55,-2.63,0
2.736,5.55,-5.55,-2.63,0
2.752,5.55,-5.55,-2.79,0
2.768,5.55,-5.55,-2.79,0
2.784,5.55,-5.55,-2.96,0
2.8,5.55,-5.55,-3.12,0
2.816,5.55,-5.55,-3.12,0
2.832,5.55,-5.55,-3.29,0
2.848,5.55,-5.55,-3.29,0
2.864,5.37,-5.55,-3.46,0
2.88,5.37,-5.55,-3.46,0
2.896,5.37,-5.37,-3.62,0
2.912,5.37,-5.37,-3.62,0
2.928,5.37,-5.37,-3.78,0
2.944,5.37,-5.37,-3.78,0
2.96,5.37,-5.37,-3.94,0
2.976,5.37,-5.37,-3.94,0
2.992,5.37,-5.37,-4.11,0
3.008,5.37,-5.37,-4.11,0
3.024,5.37,-5.37,-4.27,0
3.04,5.37,-5.37,-4.43,0
3.056,5.37,-5.37,-4.43,0
3.072,5.37,-5.37,-4.59,0
3.088,5.37,-5.37,-4.59,0
3.104,5.37,-5.37,-4.75,0
3.12,5.37,-5.37,-4.75,0
3.136,5.37,-5.37,-4.91,0
3.152,5.37,-5.37,-4.91,0
3.168,5.37,-5.37,-5.08,0
3.184,5.19,-5.37,-5.08,0
3.2,5.37,-5.19,-5.24,0
3.216,5.37,-5.19,-5.24,0
3.232,5.37,-5.37,-5.39,0
3.248,5.37,-5.37,-5.39,0
3.264,5.37,-5.37,-5.56,0
3.28,5.19,-5.37,-5.56,0
3.296,5.19,-5.19,-5.72,0
3.312,5.19,-5.19,-5.87,0
3.328,5.19,-5.19,-5.87,0
3.344,5.19,-5.19,-6.03,0
3.36,5.19,-5.19,-6.03,0
3.376,5.37,-5.19,-6.19,0
3.392,5.19,-5.19,-6.19,0
3.408,5.19,-5.19,-6.34,0
3.424,5.19,-5.19,-6.34,0
3.44,5.19,-5.19,-6.5,0
3.456,5.19,-5.19,-6.5,0
3.472,5.19,-5.19,-6.65,0
3.488,5.19,-5.19,-6.65,0
3.504,5.19,-5.19,-6.81,0
3.52,5.19,-5.19,-6.81,0
3.536,5.19,-5.19,-6.96,0
3.552,5.19,-5.19,-7.12,0
3.568,5.19,-5.19,-7.12,0
3.584,5.19,-5.19,-7.27,0
3.6,5,-5.19,-7.27,0
3.616,5,-5,-7.43,0
3.632,5,-5,-7.43,0
3.648,5,-5,-7.58,0
3.664,5,-5,-7.58,0
3.68,5,-5,-7.73,0
3.696,5,-5,-7.73,0
3.712,5,-5,-7.88,0
3.728,5,-5,-7.88,0
3.744,5,-5,-8.03,0
3.76,5,-5,-8.03,0
3.776,5,-5,-8.18,0
3.792,5,-5,-8.33,0
3.808,5,-5,-8.33,0
3.824,5,-5,-8.48,0
3.84,5,-5,-8.48,0
3.856,5,-5,-8.63,0
3.872,5,-5,-8.63,0
3.888,4.82,-5,-8.78,0
