Settings:,,
Use KPA,0,
KP,0.36,
KI,1.4,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 2000.00, 4000.00, ",""
"Traj pressures","0.00, 5.80, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,-0.13,-0.06,-0.39,0
0.032,-0.13,0.22,-0.38,0
0.048,-0.13,0.22,-0.38,0
0.064,-0.13,0.31,-0.38,0
0.08,-0.13,0.31,-0.38,0
0.096,0.06,0.31,-0.37,0
0.112,-0.13,0.31,-0.37,0
0.128,-0.13,0.4,-0.36,0
0.144,-0.13,0.4,-0.36,0
0.16,-0.13,0.49,-0.34,0
0.176,0.06,0.49,-0.34,0
0.192,-0.13,0.39,-0.33,0
0.208,-0.13,0.39,-0.33,0
0.224,-0.13,0.67,-0.31,0
0.24,-0.13,0.67,-0.31,0
0.256,-0.13,0.76,-0.29,0
0.272,-0.13,0.76,-0.29,0
0.288,-0.13,0.85,-0.27,0
0.304,-0.13,0.94,-0.24,0
0.32,0.06,0.94,-0.24,0
0.336,-0.13,0.84,-0.21,0
0.352,-0.13,0.84,-0.21,0
0.368,-0.13,1.12,-0.18,0
0.384,0.06,1.12,-0.18,0
0.4,0.06,1.02,-0.15,0
0.416,0.06,1.02,-0.15,0
0.432,0.06,1.11,-0.12,0
0.448,0.06,1.11,-0.12,0
0.464,0.24,1.2,-0.09,0
0.48,0.24,1.2,-0.09,0
0.496,0.24,1.11,-0.05,0
0.512,0.24,1.11,-0.05,0
0.528,0.24,1.2,-0.02,0
0.544,0.42,1.29,0.02,0
0.56,0.42,1.29,0.02,0
0.576,0.42,1.2,0.06,0
0.592,0.42,1.2,0.06,0
0.608,0.6,1.29,0.1,0
0.624,0.6,1.29,0.1,0
0.64,0.79,1.19,0.13,0
0.656,1.15,1.19,0.13,0
0.672,1.15,0.73,0.16,0
0.688,1.15,0.73,0.16,0
0.704,1.15,0.82,0.18,0
0.72,1.34,0.82,0.18,0
0.736,1.34,0.73,0.21,0
0.752,1.52,0.73,0.21,0
0.768,1.52,0.64,0.23,0
0.784,1.7,0.73,0.25,0
0.8,1.7,0.73,0.25,0
0.816,1.89,0.64,0.27,0
0.832,1.89,0.64,0.27,0
0.848,2.07,0.54,0.29,0
0.864,2.07,0.54,0.29,0
0.88,2.25,0.45,0.3,0
0.896,2.25,0.45,0.3,0
0.912,2.25,0.36,0.31,0
0.928,2.25,0.36,0.31,0
0.944,2.44,0.45,0.33,0
0.96,2.44,0.45,0.33,0
0.976,2.44,0.35,0.34,0
0.992,2.62,0.35,0.34,0
1.008,2.62,0.26,0.35,0
1.024,2.8,0.26,0.35,0
1.04,2.8,0.17,0.35,0
1.056,2.8,0.17,0.36,0
1.072,2.8,0.17,0.36,0
1.088,2.99,0.26,0.37,0
1.104,2.99,0.26,0.37,0
1.12,2.99,0.16,0.37,0
1.136,3.17,0.16,0.37,0
1.152,3.17,0.07,0.38,0
1.168,3.17,0.07,0.38,0
