Settings:,,
Use KPA,0,
KP,0.6,
KI,0,
KD,0,
Traj Follow Error Threshold,2.9,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,15,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 1500.00, 1600.00, 3000.00, ",""
"Traj pressures","0.00, 7.20, 7.20, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.06,0,0,0
0.016,0.06,-0.06,-0.32,0
0.032,0.06,2.18,-0.29,0
0.048,0.06,2.18,-0.29,0
0.064,0.79,2.18,-0.22,0
0.08,1.7,2.18,-0.22,0
0.096,3.17,2.76,-0.15,0
0.112,3.72,2.76,-0.15,0
0.128,4.45,2.98,-0.06,0
0.144,5,2.98,-0.06,0
0.16,5.55,2.2,0.02,0
0.176,5.92,2.2,0.02,0
0.192,6.1,1.28,0.07,0
0.208,6.47,1.28,0.07,0
0.224,6.65,0.73,0.1,0
0.24,6.84,0.73,0.1,0
0.256,7.2,0.36,0.11,0
0.272,7.2,-0,0.12,0
0.288,6.1,-0,0.12,0
0.304,6.47,1.1,0.14,0
0.32,6.65,1.1,0.14,0
0.336,6.65,0.55,0.16,0
0.352,6.65,0.55,0.16,0
0.368,6.65,0.55,0.18,0
0.384,6.65,0.55,0.18,0
0.4,6.65,0.55,0.19,0
0.416,6.65,0.55,0.19,0
0.432,6.65,0.55,0.21,0
0.448,6.65,0.55,0.21,0
0.464,6.65,0.55,0.23,0
0.48,6.65,0.55,0.23,0
0.496,6.47,0.55,0.24,0
0.512,6.47,0.73,0.26,0
0.528,6.47,0.73,0.26,0
0.544,6.47,0.73,0.28,0
0.56,6.47,0.73,0.28,0
0.576,6.47,0.73,0.31,0
0.592,6.47,0.73,0.31,0
0.608,6.47,0.73,0.33,0
0.624,6.47,0.73,0.33,0
0.64,6.47,0.73,0.35,0
0.656,6.47,0.73,0.35,0
0.672,6.47,0.73,0.37,0
0.688,6.47,0.73,0.37,0
0.704,6.47,0.73,0.39,0
0.72,6.47,0.73,0.39,0
0.736,6.47,0.73,0.42,0
0.752,6.47,0.73,0.44,0
0.768,6.47,0.73,0.44,0
0.784,6.29,0.73,0.46,0
0.8,6.29,0.73,0.46,0
0.816,6.29,0.91,0.48,0
0.832,6.29,0.91,0.48,0
0.848,6.29,0.91,0.51,0
0.864,6.29,0.91,0.51,0
0.88,6.29,0.91,0.54,0
0.896,6.29,0.91,0.54,0
0.912,6.29,0.91,0.57,0
0.928,6.29,0.91,0.57,0
0.944,6.29,0.91,0.59,0
0.96,6.29,0.91,0.59,0
0.976,6.47,0.91,0.62,0
0.992,6.29,0.73,0.65,0
1.008,6.29,0.73,0.65,0
1.024,6.47,0.91,0.67,0
1.04,6.29,0.91,0.67,0
1.056,6.29,0.91,0.7,0
1.072,6.29,0.91,0.7,0
1.088,6.29,0.91,0.73,0
1.104,6.29,0.91,0.73,0
1.12,6.1,0.91,0.75,0
1.136,6.1,0.91,0.75,0
1.152,6.1,1.1,0.78,0
1.168,6.29,1.1,0.78,0
1.184,6.1,0.91,0.81,0
1.2,6.29,0.91,0.81,0
1.216,6.29,0.91,0.84,0
1.232,6.29,0.91,0.87,0
1.248,6.29,0.91,0.87,0
1.264,6.29,0.91,0.89,0
