Settings:,,
Use KPA,0,
KP,0.45,
KI,2.25,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.05,
Pressure Read Delay,10,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 50.00, 1500.00, 1550.00, 3000.00, ",""
"Traj pressures","0.00, 17.40, 17.40, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.1,0,0,0
0.01,-0.1,0.1,1.43,0
0.02,-0.1,0.1,1.43,0
0.03,-0.1,0.1,1.43,0
0.041,2.46,10.54,1.59,0
0.051,4.48,10.54,1.59,0
0.061,6.31,10.54,1.59,0
0.071,8.33,11.09,1.93,0
0.081,9.79,11.09,1.93,0
0.091,10.89,11.09,1.93,0
0.101,12.18,6.51,2.19,0
0.111,13.27,6.51,2.19,0
0.121,14.19,6.51,2.19,0
0.131,14.74,3.21,2.34,0
0.141,15.47,3.21,2.34,0
0.151,16.02,3.21,2.34,0
0.161,16.76,1.38,2.4,0
0.171,17.31,1.38,2.4,0
0.181,17.86,1.38,2.4,0
0.191,18.04,-0.46,2.42,0
0.201,18.59,-0.46,2.42,0
0.212,18.96,-1.19,2.39,0
0.222,19.14,-1.19,2.39,0
0.232,19.51,-1.19,2.39,0
0.242,19.51,-1.19,2.39,0
0.252,19.69,-2.11,2.34,0
0.262,19.87,-2.11,2.34,0
0.272,19.87,-2.11,2.34,0
0.282,19.87,-2.47,2.27,0
0.292,20.06,-2.47,2.27,0
0.302,20.24,-2.47,2.27,0
0.312,20.42,-2.84,2.19,0
0.322,20.42,-2.84,2.19,0
0.332,20.61,-2.84,2.19,0
0.342,20.79,-3.21,2.1,0
0.352,20.97,-3.21,2.1,0
0.362,20.97,-3.21,2.1,0
0.372,21.16,-3.57,2,0
0.382,21.16,-3.57,2,0
0.392,21.16,-3.57,2,0
0.402,21.16,-3.76,1.89,0
0.412,21.16,-3.76,1.89,0
0.422,21.34,-3.76,1.89,0
0.432,21.34,-3.94,1.78,0
0.442,21.34,-3.94,1.78,0
0.452,21.52,-3.94,1.78,0
0.462,21.52,-4.12,1.66,0
0.472,21.71,-4.12,1.66,0
0.482,21.71,-4.12,1.66,0
0.492,21.71,-4.31,1.53,0
0.502,21.89,-4.31,1.53,0
0.512,21.89,-4.31,1.53,0
0.522,21.89,-4.49,1.4,0
0.532,21.89,-4.49,1.4,0
0.542,21.89,-4.49,1.4,0
0.553,21.89,-4.49,1.26,0
0.563,21.89,-4.49,1.26,0
0.573,22.07,-4.49,1.26,0
