Settings:,,
Use KPA,0,
KP,0.45,
KI,0.84,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.05,
Pressure Read Delay,10,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 725.00, 775.00, 2225.00, 2275.00, 3000.00, ",""
"Traj pressures","0.00, 0.00, 17.40, 17.40, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.1,0,0,0
0.01,-0.1,0.1,1.37,0
0.02,-0.1,0.1,1.37,0
0.03,-0.1,0.1,1.37,0
0.04,3.19,0.1,1.37,0
0.05,5.03,0.1,1.37,0
0.06,6.86,0.1,1.37,0
0.07,8.33,-6.86,1.27,0
0.08,7.96,-6.86,1.27,0
0.09,7.78,-6.86,1.27,0
0.1,7.78,-7.78,1.05,0
0.11,7.59,-7.78,1.05,0
0.12,7.41,-7.78,1.05,0
0.13,7.23,-7.41,0.82,0
0.14,7.23,-7.41,0.82,0
0.15,7.04,-7.41,0.82,0
0.16,7.04,-7.04,0.6,0
0.17,7.04,-7.04,0.6,0
0.18,7.04,-7.04,0.6,0
0.19,6.86,-7.04,0.39,0
0.2,6.86,-7.04,0.39,0
0.21,6.86,-7.04,0.39,0
0.22,6.86,-6.86,0.18,0
0.23,6.68,-6.86,0.18,0
0.24,6.68,-6.86,0.18,0
0.25,6.49,-6.68,-0.02,0
0.26,6.49,-6.68,-0.02,0
0.27,6.31,-6.68,-0.02,0
0.28,6.13,-6.31,-0.21,0
0.29,6.13,-6.31,-0.21,0
0.3,5.94,-6.31,-0.21,0
0.31,5.76,-5.94,-0.4,0
0.32,5.76,-5.94,-0.4,0
0.33,5.76,-5.94,-0.4,0
0.34,5.76,-5.76,-0.57,0
0.35,5.76,-5.76,-0.57,0
0.36,5.58,-5.76,-0.57,0
0.37,5.58,-5.58,-0.74,0
0.38,5.58,-5.58,-0.74,0
0.39,5.76,-5.58,-0.74,0
0.4,5.58,-5.76,-0.91,0
0.41,5.58,-5.76,-0.91,0
0.42,5.58,-5.76,-0.91,0
0.43,5.39,-5.58,-1.08,0
0.44,5.39,-5.58,-1.08,0
0.451,5.21,-5.58,-1.08,0
0.461,5.03,-5.21,-1.25,0
0.471,5.03,-5.21,-1.25,0
0.481,4.84,-5.21,-1.25,0
0.491,4.84,-4.84,-1.4,0
0.501,4.84,-4.84,-1.4,0
0.511,4.84,-4.84,-1.4,0
0.521,4.66,-4.84,-1.54,0
0.531,4.66,-4.84,-1.54,0
0.541,4.66,-4.84,-1.54,0
0.551,4.66,-4.66,-1.68,0
0.561,4.66,-4.66,-1.68,0
0.571,4.66,-4.66,-1.68,0
0.581,4.66,-4.66,-1.82,0
0.591,4.66,-4.66,-1.82,0
0.601,4.48,-4.66,-1.82,0
0.611,4.48,-4.48,-1.96,0
0.621,4.29,-4.48,-1.96,0
0.631,4.29,-4.48,-1.96,0
0.641,4.11,-4.29,-2.09,0
0.651,4.11,-4.29,-2.09,0
0.661,4.11,-4.29,-2.09,0
0.671,3.93,-4.11,-2.22,0
0.681,3.93,-4.11,-2.22,0
0.691,3.74,-4.11,-2.22,0
0.701,3.93,-3.74,-2.34,0
0.711,3.74,-3.74,-2.34,0
0.721,3.74,-3.74,-2.34,0
0.731,3.74,-3.74,-2.45,0
0.741,3.74,-3.74,-2.45,0
0.751,3.74,-3.74,-2.45,0
0.761,3.74,5.3,-2.43,0
0.771,3.74,5.3,-2.43,0
0.781,3.93,5.3,-2.43,0
0.792,3.74,13.47,-2.14,0
0.802,5.58,13.47,-2.14,0
0.812,7.78,13.47,-2.14,0
0.822,9.24,9.62,-1.79,0
0.832,10.71,9.62,-1.79,0
0.842,11.63,9.62,-1.79,0
0.852,12.91,5.77,-1.56,0
0.862,13.82,5.77,-1.56,0
0.872,14.56,5.77,-1.56,0
0.882,15.29,2.84,-1.43,0
0.892,15.84,2.84,-1.43,0
0.902,16.57,2.84,-1.43,0
0.912,16.39,0.83,-1.37,0
0.922,16.57,0.83,-1.37,0
0.932,16.94,0.83,-1.37,0
0.942,16.76,0.46,-1.35,0
0.952,16.57,0.46,-1.35,0
