Settings:,,
Use KPA,0,
KP,0.45,
KI,0.84,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.05,
Pressure Read Delay,10,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 725.00, 775.00, 2225.00, 2275.00, 3000.00, ",""
"Traj pressures","0.00, 0.00, 17.40, 17.40, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0,0,0,0
0.01,-0,0,0.04,0
0.02,-0,0,0.04,0
0.03,-0,0,0.04,0
0.04,-0,0,0.04,0
0.05,-0,0,0.04,0
0.06,-0,0,0.04,0
0.07,-0,0,0.04,0
0.08,-0,0,0.04,0
0.09,-0,0,0.04,0
0.1,-0,0,0.04,0
0.11,-0,0,0.04,0
0.12,-0,0,0.04,0
0.13,-0,0,0.04,0
0.14,-0,0,0.04,0
0.15,-0,0,0.04,0
0.16,-0,0,0.04,0
0.17,-0,0,0.04,0
0.18,-0,0,0.04,0
0.19,-0,0,0.04,0
0.2,-0,0,0.04,0
0.21,-0,0,0.04,0
0.22,-0,0,0.04,0
0.23,-0,0,0.04,0
0.24,-0,0,0.04,0
0.25,-0,0,0.04,0
0.26,-0,0,0.04,0
0.27,-0,0,0.04,0
0.28,-0,0,0.04,0
0.29,-0,0,0.04,0
0.3,-0,0,0.04,0
0.31,-0,0,0.04,0
0.32,-0,0,0.04,0
0.33,-0,0,0.04,0
0.34,-0,0,0.04,0
0.35,-0,0,0.04,0
0.36,-0,0,0.04,0
0.37,-0,0,0.04,0
0.38,-0,0,0.04,0
0.39,-0,0,0.04,0
0.4,-0,0,0.04,0
0.41,-0,0,0.04,0
0.42,-0,0,0.04,0
0.43,-0,0,0.04,0
0.44,-0,0,0.04,0
0.45,-0,0,0.04,0
0.46,-0,0,0.04,0
0.47,-0,0,0.04,0
0.48,-0,0,0.04,0
0.49,-0,0,0.04,0
0.5,-0,0,0.04,0
0.51,-0,0,0.04,0
0.52,-0,0,0.04,0
0.53,-0,0,0.04,0
0.54,-0,0,0.04,0
0.551,-0,0,0.05,0
0.561,-0,0,0.05,0
0.571,-0,0,0.05,0
0.581,-0,0,0.05,0
0.591,-0,0,0.05,0
0.601,-0,0,0.05,0
0.611,-0,0,0.05,0
0.621,-0,0,0.05,0
0.631,-0,0,0.05,0
0.641,-0,0,0.05,0
0.651,-0,0,0.05,0
0.661,-0,0,0.05,0
0.671,-0,0,0.05,0
0.681,-0,0,0.05,0
0.691,-0,0,0.05,0
0.701,-0,0,0.05,0
0.711,-0,0,0.05,0
0.722,-0,0,0.05,0
0.732,-0,0,0.05,0
0.742,-0,0,0.05,0
0.752,-0,8.7,0.18,0
0.762,-0,8.7,0.18,0
0.772,-0,8.7,0.18,0
0.782,-0,17.4,0.57,0
0.792,2.56,17.4,0.57,0
0.802,4.76,17.4,0.57,0
0.812,6.59,12.64,1.02,0
0.822,8.43,12.64,1.02,0
0.832,9.89,12.64,1.02,0
0.842,11.18,12.64,1.02,0
0.852,12.28,6.22,1.31,0
0.862,13.37,6.22,1.31,0
