Settings:,,
Use KPA,0,
KP,0.45,
KI,2.25,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.05,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1100.00, 8500.00, 8600.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.1,0,0,0
0.031,-0.1,0.1,1.14,0
0.061,-0.1,0.1,1.15,0
0.091,2.09,0.1,1.15,0
0.121,7.96,-2.09,1.12,0
0.151,8.69,-7.96,0.97,0
0.181,6.68,-8.69,0.72,0
0.211,3.01,-6.68,0.49,0
0.241,0.99,-3.01,0.34,0
0.271,0.99,-0.99,0.28,0
0.301,0.81,-0.99,0.25,0
0.331,0.99,-0.81,0.23,0
0.361,0.99,-0.99,0.2,0
0.391,0.99,-0.99,0.17,0
0.421,1.18,-0.99,0.14,0
0.451,1.18,-1.18,0.11,0
0.481,1.18,-1.18,0.07,0
0.511,0.99,-1.18,0.04,0
0.541,0.99,-0.99,0,0
0.571,0.99,-0.99,-0.03,0
0.601,0.99,-0.99,-0.06,0
0.631,1.18,-0.99,-0.09,0
0.661,1.18,-1.18,-0.12,0
0.691,0.99,-1.18,-0.16,0
0.721,0.81,-0.99,-0.19,0
0.751,0.81,-0.81,-0.21,0
0.781,0.81,-0.81,-0.24,0
0.811,0.81,-0.81,-0.26,0
0.842,0.63,-0.81,-0.29,0
0.872,0.26,-0.63,-0.31,0
0.902,0.26,-0.26,-0.32,0
0.932,0.26,-0.26,-0.33,0
0.962,0.26,-0.26,-0.34,0
0.992,0.26,-0.26,-0.35,0
1.022,0.26,-0.26,-0.35,0
1.052,1.36,3.59,-0.3,0
1.082,7.78,7.74,-0.13,0
1.112,11.99,6.57,0.08,0
1.142,14.56,5.51,0.26,0
1.172,16.76,2.94,0.39,0
1.202,18.04,0.74,0.44,0
1.232,19.14,-0.54,0.45,0
1.262,19.51,-1.64,0.41,0
1.292,19.51,-2.01,0.36,0
1.322,19.32,-2.01,0.3,0
1.352,19.14,-1.82,0.24,0
1.382,18.96,-1.64,0.19,0
1.412,18.59,-1.46,0.14,0
1.442,18.22,-1.09,0.1,0
1.472,18.04,-0.72,0.08,0
1.502,18.04,-0.54,0.06,0
1.532,17.86,-0.54,0.04,0
1.562,17.49,-0.36,0.03,0
1.592,17.49,0.01,0.02,0
1.622,17.49,0.01,0.02,0
1.652,17.49,0.01,0.02,0
1.682,17.49,0.01,0.02,0
1.712,17.49,0.01,0.02,0
1.742,17.31,0.01,0.02,0
1.772,17.31,0.19,0.03,0
1.802,17.31,0.19,0.03,0
1.832,17.31,0.19,0.04,0
1.862,17.12,0.19,0.04,0
1.892,17.12,0.38,0.05,0
1.922,17.12,0.38,0.06,0
1.952,17.12,0.38,0.08,0
1.982,17.12,0.38,0.09,0
2.012,17.12,0.38,0.1,0
2.042,16.94,0.38,0.11,0
2.072,16.94,0.56,0.12,0
2.102,16.94,0.56,0.14,0
2.132,17.12,0.56,0.16,0
2.162,16.94,0.38,0.17,0
2.192,16.94,0.56,0.18,0
2.222,16.94,0.56,0.2,0
2.252,17.31,0.56,0.22,0
2.282,17.49,0.19,0.23,0
2.312,17.31,0.01,0.23,0
2.342,17.31,0.19,0.24,0
2.372,17.31,0.19,0.24,0
2.402,17.31,0.19,0.25,0
2.432,17.49,0.19,0.25,0
2.463,17.49,0.01,0.26,0
2.493,17.31,0.01,0.26,0
2.523,17.31,0.19,0.26,0
2.553,17.49,0.19,0.27,0
2.583,17.49,0.01,0.27,0
2.613,17.49,0.01,0.27,0
2.643,17.49,0.01,0.27,0
2.673,17.49,0.01,0.27,0
2.703,17.49,0.01,0.27,0
2.733,17.49,0.01,0.27,0
2.763,17.49,0.01,0.27,0
2.793,17.49,0.01,0.27,0
2.823,17.49,0.01,0.27,0
2.853,17.49,0.01,0.27,0
2.883,17.49,0.01,0.27,0
2.913,17.49,0.01,0.27,0
2.943,17.49,0.01,0.27,0
2.973,17.49,0.01,0.27,0
3.003,17.49,0.01,0.27,0
3.033,17.49,0.01,0.27,0
3.063,17.49,0.01,0.27,0
3.093,17.49,0.01,0.27,0
3.123,17.49,0.01,0.27,0
3.153,17.49,0.01,0.27,0
3.183,17.49,0.01,0.27,0
3.213,17.49,0.01,0.27,0
3.243,17.49,0.01,0.27,0
3.274,17.49,0.01,0.27,0
3.304,17.49,0.01,0.28,0
3.334,17.49,0.01,0.28,0
3.364,17.49,0.01,0.28,0
3.394,17.49,0.01,0.28,0
3.424,17.67,0.01,0.28,0
3.454,17.49,-0.17,0.27,0
3.484,17.49,0.01,0.27,0
3.514,17.49,0.01,0.27,0
3.544,17.49,0.01,0.27,0
3.574,17.67,0.01,0.27,0
3.604,17.67,-0.17,0.27,0
3.634,17.49,-0.17,0.26,0
3.664,17.49,0.01,0.26,0
3.694,17.67,0.01,0.26,0
3.724,17.67,-0.17,0.26,0
3.754,17.49,-0.17,0.25,0
3.784,17.49,0.01,0.25,0
3.814,17.49,0.01,0.25,0
3.844,17.49,0.01,0.25,0
3.874,17.49,0.01,0.25,0
3.904,17.49,0.01,0.25,0
3.934,17.49,0.01,0.25,0
3.964,17.49,0.01,0.25,0
3.994,17.49,0.01,0.25,0
4.024,17.49,0.01,0.25,0
4.054,17.49,0.01,0.26,0
4.084,17.49,0.01,0.26,0
4.114,17.49,0.01,0.26,0
4.144,17.49,0.01,0.26,0
4.174,17.49,0.01,0.26,0
4.204,17.49,0.01,0.26,0
4.234,17.49,0.01,0.26,0
4.264,17.49,0.01,0.26,0
4.294,17.49,0.01,0.26,0
4.324,17.49,0.01,0.26,0
4.354,17.49,0.01,0.26,0
4.384,17.49,0.01,0.26,0
4.414,17.49,0.01,0.26,0
4.444,17.49,0.01,0.26,0
4.474,17.49,0.01,0.26,0
4.504,17.49,0.01,0.26,0
4.534,17.49,0.01,0.26,0
4.564,17.49,0.01,0.26,0
4.594,17.49,0.01,0.26,0
4.624,17.49,0.01,0.26,0
4.654,17.49,0.01,0.26,0
4.684,17.49,0.01,0.26,0
4.714,17.49,0.01,0.26,0
4.744,17.49,0.01,0.26,0
4.774,17.49,0.01,0.26,0
4.804,17.49,0.01,0.26,0
4.834,17.49,0.01,0.26,0
4.864,17.49,0.01,0.26,0
4.895,17.49,0.01,0.26,0
4.925,17.49,0.01,0.26,0
4.955,17.49,0.01,0.26,0
4.985,17.49,0.01,0.26,0
5.015,17.49,0.01,0.26,0
5.045,17.49,0.01,0.26,0
5.075,17.49,0.01,0.26,0
5.105,17.49,0.01,0.27,0
5.135,17.49,0.01,0.27,0
5.165,17.49,0.01,0.27,0
5.195,17.49,0.01,0.27,0
5.225,17.49,0.01,0.27,0
5.255,17.49,0.01,0.27,0
5.285,17.49,0.01,0.27,0
5.315,17.49,0.01,0.27,0
5.345,17.49,0.01,0.27,0
5.375,17.49,0.01,0.27,0
5.405,17.49,0.01,0.27,0
5.435,17.49,0.01,0.27,0
5.465,17.49,0.01,0.27,0
5.495,17.49,0.01,0.27,0
5.525,17.49,0.01,0.27,0
5.555,17.49,0.01,0.27,0
5.585,17.49,0.01,0.27,0
5.615,17.67,0.01,0.27,0
5.645,17.49,-0.17,0.27,0
5.675,17.49,0.01,0.27,0
5.706,17.49,0.01,0.27,0
5.736,17.49,0.01,0.27,0
5.766,17.49,0.01,0.27,0
