Settings:,,
Use KPA,0,
KP,0.75,
KI,0,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.05,
Pressure Read Delay,10,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1050.00, 8500.00, 8500.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.1,0,0,0
0.01,-0.1,0.1,0.57,0
0.02,-0.1,0.1,0.57,0
0.03,-0.1,0.1,0.57,0
0.04,-0.1,0.1,0.58,0
0.05,-0.1,0.1,0.58,0
0.06,-0.1,0.1,0.58,0
0.07,-0.1,0.1,0.58,0
0.08,-0.1,0.1,0.58,0
0.09,-0.1,0.1,0.58,0
0.1,-0.1,0.1,0.58,0
0.11,-0.1,0.1,0.58,0
0.12,-0.1,0.1,0.58,0
0.13,-0.1,0.1,0.59,0
0.14,-0.1,0.1,0.59,0
0.15,-0.1,0.1,0.59,0
0.16,-0.1,0.1,0.59,0
0.17,-0.1,0.1,0.59,0
0.18,-0.1,0.1,0.59,0
0.19,-0.1,0.1,0.59,0
0.2,-0.1,0.1,0.59,0
0.21,-0.1,0.1,0.59,0
0.22,-0.1,0.1,0.6,0
0.23,-0.1,0.1,0.6,0
0.24,-0.1,0.1,0.6,0
0.25,-0.1,0.1,0.6,0
0.26,-0.1,0.1,0.6,0
0.27,-0.1,0.1,0.6,0
0.28,-0.1,0.1,0.6,0
0.29,-0.1,0.1,0.6,0
0.3,-0.1,0.1,0.6,0
0.31,-0.1,0.1,0.6,0
0.32,-0.1,0.1,0.6,0
0.33,-0.1,0.1,0.6,0
0.34,-0.1,0.1,0.61,0
0.35,-0.1,0.1,0.61,0
0.36,-0.1,0.1,0.61,0
0.37,-0.1,0.1,0.61,0
0.38,-0.1,0.1,0.61,0
0.39,-0.1,0.1,0.61,0
0.4,-0.1,0.1,0.61,0
0.41,-0.1,0.1,0.61,0
0.42,-0.1,0.1,0.61,0
0.43,-0.1,0.1,0.62,0
0.44,-0.1,0.1,0.62,0
0.45,-0.1,0.1,0.62,0
0.46,-0.1,0.1,0.62,0
0.47,-0.1,0.1,0.62,0
0.48,-0.1,0.1,0.62,0
0.49,-0.1,0.1,0.62,0
0.5,-0.1,0.1,0.62,0
0.51,-0.1,0.1,0.62,0
0.521,-0.1,0.1,0.63,0
0.531,-0.1,0.1,0.63,0
0.541,-0.1,0.1,0.63,0
0.551,-0.1,0.1,0.63,0
0.561,-0.1,0.1,0.63,0
0.571,-0.1,0.1,0.63,0
0.581,-0.1,0.1,0.63,0
0.591,-0.1,0.1,0.63,0
0.601,-0.29,0.1,0.63,0
0.611,-0.29,0.29,0.64,0
0.621,-0.1,0.29,0.64,0
0.631,-0.1,0.29,0.64,0
0.641,-0.1,0.1,0.64,0
0.651,-0.1,0.1,0.64,0
0.661,-0.1,0.1,0.64,0
0.671,-0.1,0.1,0.65,0
0.681,-0.1,0.1,0.65,0
0.692,-0.1,0.1,0.65,0
0.702,-0.1,0.1,0.65,0
0.712,-0.1,0.1,0.65,0
0.722,-0.1,0.1,0.65,0
0.732,-0.1,0.1,0.65,0
0.742,-0.1,0.1,0.65,0
0.752,-0.1,0.1,0.65,0
0.762,-0.1,0.1,0.66,0
0.772,-0.1,0.1,0.66,0
0.782,-0.1,0.1,0.66,0
0.792,-0.1,0.1,0.66,0
0.802,-0.1,0.1,0.66,0
0.812,-0.1,0.1,0.66,0
0.822,-0.1,0.1,0.66,0
0.832,-0.1,0.1,0.66,0
0.842,-0.1,0.1,0.66,0
0.852,-0.1,0.1,0.67,0
0.862,-0.1,0.1,0.67,0
0.872,-0.1,0.1,0.67,0
0.882,-0.1,0.1,0.67,0
0.892,-0.1,0.1,0.67,0
0.902,-0.1,0.1,0.67,0
0.912,-0.1,0.1,0.67,0
0.922,-0.1,0.1,0.67,0
0.932,-0.1,0.1,0.67,0
0.942,-0.1,0.1,0.68,0
0.952,-0.1,0.1,0.68,0
0.962,-0.1,0.1,0.68,0
0.972,-0.1,0.1,0.68,0
0.982,-0.1,0.1,0.68,0
0.992,-0.1,0.1,0.68,0
1.002,-0.1,0.1,0.68,0
1.012,-0.1,0.1,0.68,0
1.022,-0.1,0.1,0.68,0
1.033,-0.1,7.1,0.79,0
1.043,-0.1,7.1,0.79,0
1.053,-0.1,7.1,0.79,0
1.063,-0.1,17.6,1.17,0
1.073,-0.1,17.6,1.17,0
1.083,-0.1,17.6,1.17,0
1.093,-0.1,17.6,1.7,0
1.103,-0.1,17.6,1.7,0
1.113,-0.1,17.6,1.7,0
1.123,-0.1,17.6,2.23,0
1.133,-0.1,17.6,2.23,0
1.143,-0.1,17.6,2.23,0
1.153,-0.1,17.6,2.76,0
1.163,-0.1,17.6,2.76,0
1.173,-0.1,17.6,2.76,0
1.183,-0.1,17.6,3.29,0
1.193,3.01,17.6,3.29,0
