Settings:,,
Use KPA,0,
KP,1,
KI,0,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.05,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1100.00, 8500.00, 8600.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.1,0,0,0
0.03,-0.1,0.1,0.46,0
0.06,-0.1,0.1,0.46,0
0.09,-0.1,0.1,0.47,0
0.12,-0.1,0.1,0.47,0
0.15,-0.1,0.1,0.47,0
0.18,-0.1,0.1,0.48,0
0.21,-0.1,0.1,0.48,0
0.24,0.08,0.1,0.48,0
0.27,0.08,-0.08,0.48,0
0.3,0.08,-0.08,0.48,0
0.33,0.08,-0.08,0.48,0
0.36,0.08,-0.08,0.48,0
0.39,0.08,-0.08,0.47,0
0.42,0.08,-0.08,0.47,0
0.45,0.08,-0.08,0.47,0
0.48,-0.1,-0.08,0.47,0
0.51,-0.1,0.1,0.47,0
0.54,0.08,0.1,0.47,0
0.57,0.08,-0.08,0.47,0
0.6,0.08,-0.08,0.47,0
0.63,0.08,-0.08,0.47,0
0.66,0.08,-0.08,0.46,0
0.69,0.08,-0.08,0.46,0
0.72,0.08,-0.08,0.46,0
0.75,0.08,-0.08,0.46,0
0.78,0.08,-0.08,0.45,0
0.81,0.08,-0.08,0.45,0
0.84,0.08,-0.08,0.45,0
0.87,0.08,-0.08,0.45,0
0.9,0.08,-0.08,0.44,0
0.93,0.08,-0.08,0.44,0
0.96,0.08,-0.08,0.44,0
0.99,0.08,-0.08,0.44,0
1.02,0.08,-0.08,0.44,0
1.05,0.44,3.42,0.49,0
1.08,7.59,8.31,0.66,0
1.11,11.81,6.41,0.88,0
1.14,14.56,5.69,1.06,0
1.17,16.39,2.94,1.19,0
1.2,18.04,1.11,1.25,0
1.23,18.41,-0.54,1.26,0
1.26,17.67,-0.91,1.24,0
1.29,17.12,-0.17,1.22,0
1.32,16.94,0.38,1.23,0
1.35,16.94,0.56,1.24,0
1.381,16.94,0.56,1.26,0
1.411,16.94,0.56,1.28,0
1.441,16.76,0.56,1.29,0
