Settings:,,
Use KPA,0,
KP,0.72,
KI,3.38,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,-0.232,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 100.00, 1500.00, 1600.00, 3000.00, ",""
"Traj pressures","0.00, 8.70, 8.70, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.47,0,0,0
0.03,-0.29,0.47,1.26,0
0.06,11.26,2.9,1.31,0
0.09,10.89,-6.04,1.26,0
0.12,10.34,-3.06,1.12,0
0.15,12.91,-1.64,1.05,0
0.18,13.09,-4.21,0.97,0
0.21,12.54,-4.39,0.84,0
0.24,11.81,-3.84,0.71,0
0.27,11.08,-3.11,0.61,0
0.3,10.34,-2.38,0.52,0
0.33,9.79,-1.64,0.46,0
0.36,9.79,-1.09,0.42,0
0.39,10.34,-1.09,0.39,0
0.42,9.98,-1.64,0.35,0
0.45,9.24,-1.28,0.3,0
0.48,9.06,-0.54,0.28,0
0.51,9.61,-0.36,0.26,0
0.541,9.98,-0.91,0.24,0
0.571,9.24,-1.28,0.21,0
0.601,8.69,-0.54,0.18,0
0.631,8.69,0.01,0.18,0
0.661,9.43,0.01,0.18,0
0.691,9.43,-0.73,0.17,0
0.721,8.88,-0.73,0.14,0
0.751,8.33,-0.18,0.13,0
0.781,8.88,0.37,0.13,0
0.811,9.61,-0.18,0.14,0
0.841,9.24,-0.91,0.12,0
0.871,8.51,-0.54,0.1,0
0.901,7.96,0.19,0.09,0
0.931,10.89,0.74,0.11,0
0.961,10.89,-2.19,0.08,0
0.991,9.61,-2.19,0.02,0
1.021,8.88,-0.91,-0.03,0
1.051,8.14,-0.18,-0.04,0
1.081,7.59,0.56,-0.04,0
1.111,8.88,1.11,-0.01,0
1.141,8.88,-0.18,0,0
1.171,8.14,-0.18,-0,0
1.201,7.59,0.56,0,0
1.231,10.89,1.11,0.03,0
1.261,10.53,-2.19,0.01,0
1.291,9.43,-1.83,-0.05,0
1.321,8.69,-0.73,-0.09,0
1.352,7.96,0.01,-0.1,0
1.382,7.41,0.74,-0.09,0
1.412,8.33,1.29,-0.06,0
1.442,9.06,0.37,-0.03,0
1.472,8.51,-0.36,-0.03,0
1.502,7.96,0.19,-0.04,0
1.532,7.78,0.57,-0.02,0
1.562,7.23,-1.86,-0.04,0
1.592,6.49,-3.92,-0.13,0
1.622,5.94,-5.8,-0.28,0
1.652,5.39,-5.94,-0.45,0
1.682,4.84,-5.39,-0.62,0
1.712,4.48,-4.84,-0.78,0
1.742,3.93,-4.48,-0.92,0
1.772,3.56,-3.93,-1.04,0
1.802,3.2,-3.56,-1.15,0
1.832,3.01,-3.2,-1.26,0
1.862,2.65,-3.01,-1.35,0
1.892,2.28,-2.65,-1.44,0
1.922,2.1,-2.28,-1.51,0
1.952,1.91,-2.1,-1.58,0
1.982,1.73,-1.91,-1.64,0
2.012,1.55,-1.73,-1.69,0
2.042,1.36,-1.55,-1.74,0
2.072,1.18,-1.36,-1.78,0
2.102,1.18,-1.18,-1.82,0
2.132,1,-1.18,-1.86,0
2.163,0.81,-1,-1.89,0
2.193,0.63,-0.81,-1.92,0
2.223,0.63,-0.63,-1.94,0
2.253,0.45,-0.63,-1.96,0
2.283,0.45,-0.45,-1.97,0
2.313,0.26,-0.45,-1.99,0
2.343,0.26,-0.26,-2,0
2.373,0.26,-0.26,-2.01,0
2.403,0.08,-0.26,-2.01,0
2.433,0.08,-0.08,-2.02,0
2.463,0.08,-0.08,-2.02,0
2.493,0.08,-0.08,-2.02,0
2.523,0.08,-0.08,-2.03,0
2.553,-0.1,-0.08,-2.03,0
2.583,-0.1,0.1,-2.03,0
2.613,-0.1,0.1,-2.02,0
2.643,-0.1,0.1,-2.02,0
2.673,-0.29,0.1,-2.02,0
2.703,-0.1,0.29,-2.01,0
2.733,-0.29,0.1,-2.01,0
2.763,-0.29,0.29,-2,0
2.793,-0.29,0.29,-1.99,0
2.823,-0.29,0.29,-1.98,0
2.853,-0.29,0.29,-1.97,0
2.883,-0.29,0.29,-1.97,0
2.913,-0.29,0.29,-1.96,0
2.943,-0.29,0.29,-1.95,0
2.973,-0.29,0.29,-1.94,0
3.003,-0.29,0.29,-1.93,0
3.004,-0.29,0,0,1
3.033,-0.29,0,0,0
3.063,-0.29,0.9,0.01,0
3.093,2.65,3.51,0.08,0
3.123,11.44,3.18,0.18,0
3.153,12.36,-3,0.18,0
3.183,11.26,-3.66,0.08,0
