Settings:,,
Use KPA,0,
KP,0.1,
KI,0,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.24,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1050.00, 10000.00, 10050.00, 20000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0.19,0,0,0
0.03,0.19,-0.19,-0.64,0
0.06,0.19,-0.19,-0.65,0
0.09,0.19,-0.19,-0.65,0
0.12,0.19,-0.19,-0.66,0
0.15,0,-0.19,-0.66,0
0.18,0.19,-0,-0.67,0
0.21,0.19,-0.19,-0.67,0
0.24,0.19,-0.19,-0.68,0
0.27,0,-0.19,-0.68,0
0.3,0,-0,-0.68,0
0.33,0.19,-0,-0.68,0
0.36,0,-0.19,-0.69,0
0.39,0,-0,-0.69,0
0.42,0.19,-0,-0.69,0
0.45,0,-0.19,-0.69,0
0.48,0.19,-0,-0.69,0
0.51,0.19,-0.19,-0.7,0
0.54,0,-0.19,-0.7,0
0.57,0,-0,-0.71,0
0.6,0.19,-0,-0.71,0
0.63,0,-0.19,-0.71,0
0.66,0.19,-0,-0.71,0
0.69,0,-0.19,-0.71,0
0.72,0.19,-0,-0.72,0
0.75,0,-0.19,-0.72,0
0.78,0.19,-0,-0.72,0
0.81,0.19,-0.19,-0.73,0
0.84,0.19,-0.19,-0.73,0
0.87,0.19,-0.19,-0.74,0
0.9,0,-0.19,-0.74,0
0.93,0,-0,-0.75,0
0.96,0.19,-0,-0.75,0
0.99,0.19,-0.19,-0.75,0
1.02,0.19,-0.19,-0.75,0
1.05,0.92,6.81,-0.65,0
1.08,7.15,16.58,-0.3,0
1.11,11.55,10.35,0.1,0
1.14,14.66,5.95,0.35,0
1.171,16.68,2.84,0.48,0
1.201,18.33,0.82,0.53,0
1.231,18.51,-0.83,0.53,0
1.261,18.33,-1.01,0.5,0
1.291,17.96,-0.83,0.48,0
1.321,17.6,-0.46,0.46,0
1.351,17.6,-0.1,0.45,0
1.381,17.6,-0.1,0.45,0
1.411,17.41,-0.1,0.44,0
1.441,17.23,0.09,0.44,0
1.471,16.86,0.27,0.45,0
