Settings:,,
Use KPA,0,
KP,0.34,
KI,1.69,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.24,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1100.00, 8500.00, 8600.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0,0,0,0
0.03,0,-0,-0.01,0
0.06,0,-0,-0.01,0
0.09,0,-0,-0.02,0
0.12,0,-0,-0.02,0
0.15,0,-0,-0.02,0
0.18,0,-0,-0.02,0
0.21,0,-0,-0.02,0
0.24,0,-0,-0.02,0
0.27,0,-0,-0.02,0
0.3,0,-0,-0.02,0
0.33,0,-0,-0.02,0
0.36,0,-0,-0.02,0
0.39,0,-0,-0.02,0
0.42,0,-0,-0.02,0
0.45,0,-0,-0.02,0
0.48,0,-0,-0.02,0
0.51,0,-0,-0.02,0
0.54,0,-0,-0.02,0
0.57,0,-0,-0.02,0
0.6,0,-0,-0.02,0
0.63,0,-0,-0.02,0
0.66,0,-0,-0.02,0
0.691,0,-0,-0.02,0
0.721,0,-0,-0.02,0
0.751,0,-0,-0.02,0
0.781,0,-0,-0.02,0
0.811,0,-0,-0.02,0
0.841,0,-0,-0.02,0
0.871,0,-0,-0.02,0
0.901,0,-0,-0.02,0
0.931,0,-0,-0.02,0
0.961,0,-0,-0.02,0
0.991,0,-0,-0.02,0
1.021,0,-0,-0.02,0
1.051,2.38,3.67,0.04,0
1.081,7.88,6.54,0.19,0
1.111,11.92,6.29,0.38,0
1.141,14.48,5.58,0.56,0
1.171,16.31,3.02,0.69,0
1.201,17.96,1.19,0.75,0
1.231,19.06,-0.46,0.77,0
1.261,19.61,-1.56,0.74,0
1.291,19.98,-2.11,0.68,0
1.321,20.16,-2.48,0.61,0
1.351,20.16,-2.66,0.53,0
1.381,20.16,-2.66,0.45,0
1.411,19.8,-2.66,0.37,0
1.441,19.43,-2.3,0.3,0
1.471,19.25,-1.93,0.24,0
1.502,19.25,-1.75,0.18,0
1.532,19.06,-1.75,0.13,0
1.562,18.7,-1.56,0.08,0
1.592,18.51,-1.2,0.04,0
1.622,18.33,-1.01,0,0
1.652,18.15,-0.83,-0.02,0
1.682,17.96,-0.65,-0.05,0
1.712,17.78,-0.46,-0.06,0
1.742,17.6,-0.28,-0.07,0
1.772,17.41,-0.1,-0.08,0
1.802,17.23,0.09,-0.08,0
1.832,17.23,0.27,-0.07,0
1.862,17.05,0.27,-0.07,0
1.892,16.86,0.45,-0.05,0
1.922,16.68,0.64,-0.04,0
1.952,16.68,0.82,-0.02,0
1.982,16.68,0.82,0.01,0
2.012,16.5,0.82,0.03,0
2.042,16.5,1,0.06,0
2.072,16.5,1,0.09,0
2.102,16.68,1,0.12,0
2.132,16.86,0.82,0.15,0
2.162,16.86,0.64,0.17,0
2.192,16.86,0.64,0.19,0
2.222,16.86,0.64,0.21,0
2.252,17.05,0.64,0.23,0
2.282,17.23,0.45,0.24,0
2.312,17.23,0.27,0.25,0
2.342,17.23,0.27,0.26,0
2.372,17.23,0.27,0.27,0
2.402,17.23,0.27,0.28,0
2.432,17.23,0.27,0.29,0
2.462,17.41,0.27,0.3,0
2.492,17.41,0.09,0.3,0
2.522,17.41,0.09,0.3,0
2.552,17.6,0.09,0.31,0
2.582,17.6,-0.1,0.31,0
2.612,17.6,-0.1,0.3,0
2.642,17.6,-0.1,0.3,0
2.672,17.6,-0.1,0.3,0
2.702,17.6,-0.1,0.29,0
2.732,17.6,-0.1,0.29,0
2.762,17.6,-0.1,0.29,0
2.792,17.6,-0.1,0.29,0
2.822,17.6,-0.1,0.28,0
2.852,17.78,-0.1,0.28,0
2.882,17.78,-0.28,0.27,0
2.912,17.6,-0.28,0.27,0
2.942,17.6,-0.1,0.26,0
2.972,17.6,-0.1,0.26,0
3.002,17.6,-0.1,0.25,0
3.032,17.6,-0.1,0.25,0
3.062,17.6,-0.1,0.25,0
3.092,17.6,-0.1,0.25,0
3.123,17.6,-0.1,0.24,0
3.153,17.6,-0.1,0.24,0
3.183,17.6,-0.1,0.24,0
3.213,17.6,-0.1,0.23,0
3.243,17.6,-0.1,0.23,0
3.273,17.6,-0.1,0.23,0
3.303,17.6,-0.1,0.22,0
3.333,17.6,-0.1,0.22,0
3.363,17.6,-0.1,0.22,0
3.393,17.6,-0.1,0.22,0
3.423,17.6,-0.1,0.21,0
3.453,17.6,-0.1,0.21,0
3.483,17.6,-0.1,0.21,0
3.513,17.6,-0.1,0.2,0
3.543,17.6,-0.1,0.2,0
3.573,17.6,-0.1,0.2,0
3.603,17.6,-0.1,0.2,0
3.633,17.6,-0.1,0.19,0
