Settings:,,
Use KPA,0,
KP,0.15,
KI,1.25,
KD,0.012,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.24,
Pressure Read Delay,30,
Interpolation Calculation Delay,30,
Controller Delay,30,
"Traj times","0.00, 1000.00, 1100.00, 8500.00, 8600.00, 16000.00, ",""
"Traj pressures","0.00, 0.00, 17.50, 17.50, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,0,0,0,0
0.03,0,-0,-0.01,0
0.06,0,-0,-0.01,0
0.09,0,-0,-0.01,0
0.12,0,-0,-0.01,0
0.15,0,-0,-0.01,0
0.18,0,-0,-0.01,0
0.21,0,-0,-0.01,0
0.24,0,-0,-0.01,0
0.27,0,-0,-0.01,0
0.3,0,-0,-0.01,0
0.33,0,-0,-0.01,0
0.36,0,-0,-0.01,0
0.39,0,-0,-0.01,0
0.42,0,-0,-0.01,0
0.45,0,-0,-0.01,0
0.48,0,-0,-0.01,0
0.51,0,-0,-0.01,0
0.54,0,-0,-0.01,0
0.57,0,-0,-0.01,0
0.6,0,-0,-0.01,0
0.63,0,-0,-0.01,0
0.66,0,-0,-0.01,0
0.69,0,-0,-0.01,0
0.721,0,-0,-0.01,0
0.751,0,-0,-0.01,0
0.781,0,-0,-0.01,0
0.811,0,-0,-0.01,0
0.841,0,-0,-0.01,0
0.871,0,-0,-0.01,0
0.901,0,-0,-0.01,0
0.931,0,-0,-0.01,0
0.961,0,-0,-0.01,0
0.991,0,-0,-0.01,0
1.021,0,-0,-0.01,0
1.051,0.37,3.67,0.05,0
1.081,6.6,8.56,0.23,0
1.111,10.82,7.58,0.47,0
1.141,13.93,6.68,0.69,0
1.171,15.95,3.57,0.84,0
1.201,17.6,1.55,0.92,0
1.231,18.7,-0.1,0.94,0
1.261,19.43,-1.2,0.92,0
1.291,19.8,-1.93,0.87,0
1.321,19.98,-2.3,0.81,0
1.351,20.53,-2.48,0.74,0
1.381,20.9,-3.03,0.65,0
1.411,21.08,-3.4,0.56,0
1.441,21.08,-3.58,0.45,0
1.471,20.9,-3.58,0.35,0
1.501,20.9,-3.4,0.24,0
1.531,20.9,-3.4,0.14,0
1.561,20.35,-3.4,0.04,0
1.591,20.16,-2.85,-0.06,0
1.621,19.8,-2.66,-0.14,0
1.651,19.61,-2.3,-0.21,0
1.681,19.43,-2.11,-0.28,0
1.711,19.06,-1.93,-0.34,0
1.741,18.7,-1.56,-0.39,0
1.771,18.33,-1.2,-0.44,0
1.801,18.15,-0.83,-0.47,0
1.831,17.78,-0.65,-0.49,0
1.861,17.6,-0.28,-0.5,0
1.891,17.23,-0.1,-0.51,0
1.921,17.05,0.27,-0.51,0
1.951,16.68,0.45,-0.49,0
1.981,16.5,0.82,-0.48,0
2.011,16.13,1,-0.45,0
2.041,15.95,1.37,-0.41,0
2.071,15.76,1.55,-0.37,0
2.101,15.76,1.74,-0.32,0
2.131,15.58,1.74,-0.27,0
2.161,15.4,1.92,-0.21,0
2.191,15.21,2.1,-0.15,0
2.221,15.21,2.29,-0.09,0
2.251,15.21,2.29,-0.02,0
2.281,15.21,2.29,0.05,0
2.311,15.4,2.29,0.12,0
2.342,15.4,2.1,0.19,0
2.372,15.76,2.1,0.25,0
2.402,16.13,1.74,0.31,0
2.432,16.5,1.37,0.35,0
2.462,16.86,1,0.39,0
2.492,17.05,0.64,0.41,0
2.522,17.05,0.45,0.43,0
2.552,17.23,0.45,0.44,0
2.582,17.41,0.27,0.45,0
2.612,17.6,0.09,0.46,0
2.642,17.6,-0.1,0.46,0
2.672,17.6,-0.1,0.46,0
2.702,17.6,-0.1,0.45,0
2.732,17.78,-0.1,0.45,0
2.762,17.6,-0.28,0.44,0
2.792,17.6,-0.1,0.44,0
2.822,17.78,-0.1,0.44,0
2.852,17.78,-0.28,0.43,0
2.882,17.78,-0.28,0.42,0
2.912,17.78,-0.28,0.41,0
2.942,17.78,-0.28,0.4,0
2.972,17.78,-0.28,0.4,0
3.002,17.78,-0.28,0.39,0
3.032,17.78,-0.28,0.38,0
3.062,17.78,-0.28,0.37,0
3.092,17.78,-0.28,0.36,0
3.122,17.78,-0.28,0.35,0
3.153,17.78,-0.28,0.35,0
3.183,17.78,-0.28,0.34,0
3.213,17.78,-0.28,0.33,0
3.243,17.78,-0.28,0.32,0
3.273,17.78,-0.28,0.31,0
3.303,17.78,-0.28,0.3,0
3.333,17.78,-0.28,0.3,0
3.363,17.78,-0.28,0.29,0
3.393,17.6,-0.28,0.28,0
3.423,17.6,-0.1,0.27,0
3.453,17.6,-0.1,0.27,0
3.483,17.6,-0.1,0.27,0
3.513,17.6,-0.1,0.26,0
3.543,17.6,-0.1,0.26,0
3.573,17.6,-0.1,0.26,0
3.603,17.6,-0.1,0.26,0
