Settings:,,
Use KPA,0,
KP,0.72,
KI,3.38,
KD,0,
Traj Follow Error Pressure Threshold,4.35,
Traj Follow Error Time Threshold,1500,
Filter alpha,0,
Sensor offset,0.11,
Pressure Read Delay,5,
Interpolation Calculation Delay,5,
Controller Delay,5,
"Traj times","0.00, 100.00, 1500.00, 1600.00, 3000.00, ",""
"Traj pressures","0.00, 8.70, 8.70, 0.00, 0.00, ",""
time,pressure,error,integral,cycle_start
0,-0.13,0,0,0
0.005,-0.13,0.13,0.71,0
0.01,-0.13,0.56,0.72,0
0.015,0.79,1,0.72,0
0.02,3.72,0.52,0.72,0
0.025,4.27,-1.98,0.72,0
0.03,3.9,-2.1,0.71,0
0.035,3.72,-1.29,0.7,0
0.04,3.72,-0.68,0.7,0
0.045,3.72,-0.24,0.69,0
0.05,3.72,0.19,0.69,0
0.055,3.9,0.63,0.7,0
0.06,3.9,0.88,0.7,0
0.065,3.9,1.32,0.71,0
0.07,3.9,1.75,0.71,0
0.075,3.9,2.19,0.72,0
0.08,4.09,2.62,0.73,0
0.085,4.09,2.87,0.75,0
0.09,3.9,3.31,0.76,0
0.095,3.9,3.93,0.78,0
0.1,3.9,4.36,0.8,0
0.105,3.9,4.8,0.83,0
0.11,4.09,4.8,0.85,0
0.115,4.09,4.61,0.87,0
0.12,3.9,4.61,0.9,0
0.125,4.09,4.8,0.92,0
0.13,4.09,4.61,0.94,0
0.135,4.09,4.61,0.97,0
0.14,4.09,4.61,0.99,0
0.145,4.09,4.61,1.01,0
0.15,4.09,4.61,1.04,0
0.155,4.09,4.61,1.06,0
0.16,4.09,4.61,1.08,0
0.165,4.09,4.61,1.1,0
0.17,4.09,4.61,1.13,0
0.175,4.09,4.61,1.15,0
0.18,4.09,4.61,1.17,0
0.185,4.09,4.61,1.2,0
0.19,4.09,4.61,1.22,0
0.195,4.09,4.61,1.24,0
0.2,4.09,4.61,1.27,0
0.205,4.09,4.61,1.29,0
0.21,4.09,4.61,1.31,0
0.216,4.09,4.61,1.34,0
0.221,4.09,4.61,1.36,0
0.226,4.09,4.61,1.38,0
0.231,4.09,4.61,1.4,0
0.236,4.09,4.61,1.43,0
0.241,4.09,4.61,1.45,0
0.246,4.09,4.61,1.47,0
0.251,4.09,4.61,1.5,0
0.256,4.09,4.61,1.52,0
0.261,4.09,4.61,1.54,0
0.266,4.09,4.61,1.57,0
0.271,4.09,4.61,1.59,0
0.276,4.09,4.61,1.61,0
0.281,4.09,4.61,1.64,0
0.286,4.09,4.61,1.66,0
0.291,4.09,4.61,1.68,0
0.296,4.09,4.61,1.7,0
0.301,4.09,4.61,1.73,0
0.306,4.09,4.61,1.75,0
0.311,4.09,4.61,1.77,0
0.316,4.09,4.61,1.8,0
0.321,4.09,4.61,1.82,0
0.326,4.09,4.61,1.84,0
0.331,4.09,4.61,1.87,0
0.336,4.09,4.61,1.89,0
0.341,4.09,4.61,1.91,0
0.346,4.09,4.61,1.94,0
0.351,4.09,4.61,1.96,0
0.356,4.09,4.61,1.99,0
0.361,4.09,4.61,2.01,0
0.366,4.09,4.61,2.03,0
0.371,4.09,4.61,2.06,0
0.376,4.09,4.61,2.08,0
0.381,4.09,4.61,2.1,0
0.386,4.09,4.61,2.12,0
0.391,4.09,4.61,2.15,0
0.396,4.09,4.61,2.17,0
0.401,4.09,4.61,2.19,0
0.406,4.09,4.61,2.22,0
0.411,4.09,4.61,2.24,0
0.416,4.09,4.61,2.26,0
0.421,4.09,4.61,2.29,0
0.426,4.09,4.61,2.31,0
0.431,4.09,4.61,2.33,0
0.436,4.09,4.61,2.35,0
0.441,4.09,4.61,2.38,0
0.446,4.09,4.61,2.4,0
0.451,4.09,4.61,2.42,0
0.456,4.09,4.61,2.45,0
0.461,4.09,4.61,2.47,0
0.466,4.09,4.61,2.49,0
0.472,4.09,4.61,2.52,0
0.477,4.09,4.61,2.54,0
0.482,4.09,4.61,2.56,0
0.487,4.09,4.61,2.59,0
0.492,4.09,4.61,2.61,0
0.497,4.09,4.61,2.63,0
0.502,4.27,4.61,2.65,0
0.507,4.09,4.43,2.68,0
0.512,4.09,4.61,2.7,0
0.517,4.09,4.61,2.72,0
